"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.25604","Bronze AE2 of Theodosius I, Thessalonica, 383–384. 1944.100.25604","1944.100.25604","http://numismatics.org/ocre/id/ric.9.thes.44B","383","388","Theodosius I","","","Roman Empire","Theodosian Dynasty","Victory","Theodosius I","AE2","Roman","Coin","","","","","Struck","Bronze","","Thessalonica","","","Bisaltian District||Macedonia","RIC IX Thessalonica 44B","","","RIC IX Thessalonica 44B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust helmeted with pearl diadem draped cuirassed right holding spear and shield in front","GLORIA RO-MANORVM","Emperor standing left, on ship. Victory seated at helm","","","6","21.0","5.41","https://numismatics.org/collectionimages/19001949/1944/1944.100.25604.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25604.rev.width175.jpg","2024-05-15T01:23:12Z"
"http://numismatics.org/collection/1944.100.25327","Silver Siliqua of Gratian, Trier, 378–383. 1944.100.25327","1944.100.25327","http://numismatics.org/ocre/id/ric.9.tri.58B","378","383","Gratian","","","Roman Empire||Syracuse","Valentinian Dynasty||Theodosian Dynasty","Roma","Theodosius I","Siliqua","Roman","Coin","","","","","Struck","Silver","","Trier","","","Gallia","RIC IX Treveri 58B","","","RIC IX Treveri 58B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DN THEODO-SIVS PF AVG","Bust pearl-diademed draped cuirassed right","VIRTVS RO-MANORVM","Roma seated facing on throne holding globe in right and reversed spear in left","","","12","18.0","1.7","https://numismatics.org/collectionimages/19001949/1944/1944.100.25327.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25327.rev.width175.jpg","2024-05-15T01:17:44Z"
"http://numismatics.org/collection/1944.100.25613","Bronze AE4 of Theodosius I, Thessalonica, 383–384. 1944.100.25613","1944.100.25613","http://numismatics.org/ocre/id/ric.9.thes.49B","383","388","Theodosius I","","","Roman Empire","Theodosian Dynasty","","Theodosius I","AE4","Roman","Coin","","","","","Struck","Bronze","","Thessalonica","","","Bisaltian District||Macedonia","RIC IX Thessalonica 49B","","","RIC IX Thessalonica 49B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust pearl-diademed draped cuirassed right","VOT / X / MVLT / XX","Legend in wreath","","","11","13.5","1.22","https://numismatics.org/collectionimages/19001949/1944/1944.100.25613.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25613.rev.width175.jpg","2024-05-15T01:23:22Z"
"http://numismatics.org/collection/1944.100.25338","Gold Solidus of Valentinian II, Trier, 388–392. 1944.100.25338","1944.100.25338","http://numismatics.org/ocre/id/ric.9.tri.90B","388","392","Valentinian II","","","Roman Empire","Valentinian Dynasty||Theodosian Dynasty","Victory","Theodosius I","Solidus","Roman","Coin","","","","","Struck","Gold","","Trier","","","Gallia","RIC IX Treveri 90B","","","RIC IX Treveri 90B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEO-DOSIVS P F AVG","Bust pearl-diademed draped cuirassed right","VICTOR-IA AVGG","Two emperors nimbate seated facing, together holding globe; between them, palm; above, upper portion of Victory with outspread wings","","","6","20.5","4.39","https://numismatics.org/collectionimages/19001949/1944/1944.100.25338.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25338.rev.width175.jpg","2024-05-15T01:17:55Z"
"http://numismatics.org/collection/1944.100.25339","Silver Siliqua of Valentinian II, Trier, 388–392. 1944.100.25339","1944.100.25339","http://numismatics.org/ocre/id/ric.9.tri.94B","388","392","Valentinian II","","","Roman Empire","Valentinian Dynasty||Theodosian Dynasty","Roma","Theodosius I","Siliqua","Roman","Coin","","","","","Struck","Silver","","Trier","","","Gallia","RIC IX Treveri 94B","","","RIC IX Treveri 94B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust pearl-diademed draped cuirassed right","VIRTVS RO-MANORVM","Roma std left on cuirass, holding Victory on globe in right and reversed spear in left","","","6","18.0","1.77","https://numismatics.org/collectionimages/19001949/1944/1944.100.25339.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25339.rev.width175.jpg","2024-05-15T01:17:56Z"
"http://numismatics.org/collection/1944.100.25620","Bronze AE4 of Valentinian II, Thessalonica, 388–393. 1944.100.25620","1944.100.25620","http://numismatics.org/ocre/id/ric.9.thes.65B","388","393","Valentinian II||Theodosius I","","","Roman Empire","Valentinian Dynasty||Theodosian Dynasty","Victory","Theodosius I","AE4","Roman","Coin","","","","","Struck","Bronze","","Thessalonica","","","Bisaltian District||Macedonia","RIC IX Thessalonica 65B","","","RIC IX Thessalonica 65B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust pearl-diademed draped cuirassed right","SALVS REI-PVBLICAE","Victory advancing left, carrying trophy and dragging captive, Chi Ro in field","","","6","13.0","0.93","https://numismatics.org/collectionimages/19001949/1944/1944.100.25620.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25620.rev.width175.jpg","2024-05-15T01:23:30Z"
"http://numismatics.org/collection/1944.100.25658","Bronze AE2 of Theodosius I, Constantinople, 393–395. 1944.100.25658","1944.100.25658","http://numismatics.org/ocre/id/ric.9.cnp.88A","392","395","Theodosius I","","","Roman Empire","Theodosian Dynasty","","Theodosius I","AE2","Roman","Coin","","","","","Struck","Bronze","","Constantinople","","","Thrace","RIC IX Constantinople 88A","","","RIC IX Constantinople 88A","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust pearl-diademed draped curiassed right","GLORIA - ROMANORVM","Emperor standing facing, holding standard and globe.","","","6","20.0","4.32","https://numismatics.org/collectionimages/19001949/1944/1944.100.25658.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25658.rev.width175.jpg","2024-05-15T01:24:11Z"
"http://numismatics.org/collection/1944.100.25660","Bronze AE2 of Theodosius I, Constantinople, 378–383. 1944.100.25660","1944.100.25660","http://numismatics.org/ocre/id/ric.9.cnp.52C","378","383","Theodosius I","","","Roman Empire","Theodosian Dynasty","Victory","Theodosius I","AE2","Roman","Coin","","","","","Struck","Bronze","","Constantinople","","","Thrace","RIC IX Constantinople 52C","","","RIC IX Constantinople 52C","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust helmeted with pearl diadem draped cuirassed right holding spear and shield in front","GLORIA RO-MANORVM","Emperor standing facing, on ship. Victory seated at helm.","","","6","21.0","5.22","https://numismatics.org/collectionimages/19001949/1944/1944.100.25660.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25660.rev.width175.jpg","2024-05-15T01:24:14Z"
"http://numismatics.org/collection/1944.100.25662","Bronze AE2 of Theodosius I, Constantinople, 378–383. 1944.100.25662","1944.100.25662","http://numismatics.org/ocre/id/ric.9.cnp.52C","378","383","Theodosius I","","","Roman Empire","Theodosian Dynasty","Victory","Theodosius I","AE2","Roman","Coin","","","","","Struck","Bronze","","Constantinople","","","Thrace","RIC IX Constantinople 52C","","","RIC IX Constantinople 52C","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust helmeted with pearl diadem draped cuirassed right holding spear and shield in front","GLORIA RO-MANORVM","Emperor standing facing, on ship. Victory seated at helm.","","","12","22.5","4.83","https://numismatics.org/collectionimages/19001949/1944/1944.100.25662.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25662.rev.width175.jpg","2024-05-15T01:24:16Z"
"http://numismatics.org/collection/1944.100.25663","Bronze AE2 of Theodosius I, Constantinople, 378–383. 1944.100.25663","1944.100.25663","http://numismatics.org/ocre/id/ric.9.cnp.52C","378","383","Theodosius I","","","Roman Empire","Theodosian Dynasty","Victory","Theodosius I","AE2","Roman","Coin","","","","","Struck","Bronze","","Constantinople","","","Thrace","RIC IX Constantinople 52C","","","RIC IX Constantinople 52C","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODO-SIVS P F AVG","Bust helmeted with pearl diadem draped cuirassed right holding spear and shield in front","GLORIA RO-MANORVM","Emperor standing facing, on ship. Victory seated at helm.","","","6","22.5","5.42","https://numismatics.org/collectionimages/19001949/1944/1944.100.25663.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.25663.rev.width175.jpg","2024-05-15T01:24:17Z"
