"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.54802","Bronze AE3 of Arcadius, Cyzicus, 395–408. 1944.100.54802","1944.100.54802","http://numismatics.org/ocre/id/ric.10.arc_e.148","395","408","Arcadius","","","Roman Empire","Theodosian Dynasty","","Arcadius||Honorius||Theodosius II","AE3","Roman","Coin","","","","","Struck","Bronze","","Cyzicus","","","Mysia","RIC X Arcadius 148","","","RIC X Arcadius 148","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N ARCADIVS P F AVG","Bust pearl diademed draped cuirassed right, star in left field","GLORIA ROMANORVM","Three emperors standing","","","6","15.0","1.717","https://numismatics.org/collectionimages/19001949/1944/1944.100.54802.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54802.rev.width175.jpg","2024-05-13T05:30:05Z"
"http://numismatics.org/collection/1944.100.54803","Bronze AE3 of Arcadius, Cyzicus, 395–408. 1944.100.54803","1944.100.54803","http://numismatics.org/ocre/id/ric.10.arc_e.148","395","408","Arcadius","","","Roman Empire","Theodosian Dynasty","","Arcadius||Honorius||Theodosius II","AE3","Roman","Coin","","","","","Struck","Bronze","","Cyzicus","","","Mysia","RIC X Arcadius 148","","","RIC X Arcadius 148","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N ARCA[DI]VS P F AVG","Bust pearl diademed draped cuirassed right, star in left field","GLORIA ROMANORVM","Three emperors standing","","","12","14.0","1.499","https://numismatics.org/collectionimages/19001949/1944/1944.100.54803.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54803.rev.width175.jpg","2024-05-13T05:30:06Z"
"http://numismatics.org/collection/1944.100.54804","Bronze AE3 of Arcadius, Cyzicus, 395–408. 1944.100.54804","1944.100.54804","http://numismatics.org/ocre/id/ric.10.arc_e.148","395","408","Arcadius","","","Roman Empire","Theodosian Dynasty","","Arcadius||Honorius||Theodosius II","AE3","Roman","Coin","","","","","Struck","Bronze","","Cyzicus","","","Mysia","RIC X Arcadius 148","","","RIC X Arcadius 148","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N ARCADIVS P F AVG","Bust pearl diademed draped cuirassed right, star in left field","GLORIA ROMANORVM","Three emperors standing","","","12","14.0","2.171","https://numismatics.org/collectionimages/19001949/1944/1944.100.54804.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54804.rev.width175.jpg","2024-05-13T05:30:07Z"
"http://numismatics.org/collection/1944.100.54805","Bronze AE4 of Arcadius, Cyzicus, 395–408. 1944.100.54805","1944.100.54805","http://numismatics.org/ocre/id/ric.10.arc_e.148","395","408","Arcadius","","","Roman Empire","Theodosian Dynasty","","Arcadius||Honorius||Theodosius II","AE4||AE3","Roman","Coin","","","","","Struck","Bronze","","Cyzicus","","","Mysia","RIC X Arcadius 148","","","RIC X Arcadius 148","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N ARCADIVS P F A[VG]","Bust pearl diademed draped cuirassed right, star in left field","GLO[RIA ROMA]NORVM","Three emperors standing","","","7","15.25","1.41","https://numismatics.org/collectionimages/19001949/1944/1944.100.54805.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54805.rev.width175.jpg","2024-05-13T05:30:08Z"
"http://numismatics.org/collection/1944.100.54815","Gold Solidus of Theodosius II, Constantinople, 408–450. 1944.100.54815","1944.100.54815","http://numismatics.org/ocre/id/ric.10.theo_ii_e.202","408","450","Theodosius II","","","Roman Empire","Theodosian Dynasty","Constantinopolis","Theodosius II","Solidus","Roman","Coin","","","","","Struck","Gold","","Constantinople","","","Thrace","RIC X Theodosius II (East) 202","","","RIC X Theodosius II (East) 202","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODOSIVS P F AVG","Bust facing helmeted cuirassed holding spear and shield","CONCORDIA AVGGG","Constantinopolis seated front, holding spear and Victory on globe, prow left","","","6","21.0","4.45","https://numismatics.org/collectionimages/19001949/1944/1944.100.54815.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54815.rev.width175.jpg","2024-05-13T05:30:19Z"
"http://numismatics.org/collection/1944.100.54816","Gold Solidus of Theodosius II, Constantinople, 408–420. 1944.100.54816","1944.100.54816","http://numismatics.org/ocre/id/ric.10.theo_ii_e.202","408","420","Theodosius II","","","Roman Empire","Theodosian Dynasty","Constantinopolis","Theodosius II","Solidus","Roman","Coin","","","","","Struck","Gold","","Constantinople","","","Thrace","RIC X Theodosius II (East) 202","","","RIC X Theodosius II (East) 202","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODOSIVS P F AVG","Bust facing helmeted cuirassed holding spear and shield","CONCORDIA AVGGG","Constantinopolis seated front, holding spear and Victory on globe, prow left","","","6","21.0","4.466","https://numismatics.org/collectionimages/19001949/1944/1944.100.54816.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54816.rev.width175.jpg","2024-05-13T05:30:20Z"
"http://numismatics.org/collection/1944.100.54817","Gold Solidus of Theodosius II, Constantinople, 408–420. 1944.100.54817","1944.100.54817","http://numismatics.org/ocre/id/ric.10.theo_ii_e.202","408","420","Theodosius II","","","Roman Empire","Theodosian Dynasty","Constantinopolis","Theodosius II","Solidus","Roman","Coin","","","","","Struck","Gold","","Constantinople","","","Thrace","RIC X Theodosius II (East) 202","","","RIC X Theodosius II (East) 202","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODOSIVS P F AVG","Bust facing helmeted cuirassed holding spear and shield","CONCORDIA AVGG","Constantinopolis seated front, holding spear and Victory on globe, prow left","","","6","20.5","4.429","https://numismatics.org/collectionimages/19001949/1944/1944.100.54817.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54817.rev.width175.jpg","2024-05-13T05:30:21Z"
"http://numismatics.org/collection/1944.100.54818","Gold Solidus of Theodosius II, Constantinople, 424–425. 1944.100.54818","1944.100.54818","http://numismatics.org/ocre/id/ric.10.theo_ii_e.232","424","425","Theodosius II","","","Roman Empire","Theodosian Dynasty","","Theodosius II","Solidus","Roman","Coin","","","","","Struck","Gold","","Constantinople","","","Thrace","RIC X Theodosius II (East) 232","","","RIC X Theodosius II (East) 232","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODOSIVS P F AVG","Bust facing helmeted cuirassed holding spear and shield","GLOR ORVIS TERRAR","Emperor standing facing, holding standard, and cross on globe with star in left field","","","12","21.5","4.386","https://numismatics.org/collectionimages/19001949/1944/1944.100.54818.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54818.rev.width175.jpg","2024-05-13T05:30:22Z"
"http://numismatics.org/collection/1944.100.54819","Gold Solidus of Theodosius II, Constantinople, 441. 1944.100.54819","1944.100.54819","http://numismatics.org/ocre/id/ric.10.theo_ii_e.284","441","441","Theodosius II","","","Roman Empire","Theodosian Dynasty","","Theodosius II","Solidus","Roman","Coin","","","","","Struck","Gold","","Constantinople","","","Thrace","RIC X Theodosius II (East) 284","","","RIC X Theodosius II (East) 284","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODOSIVS P F AVG","Bust facing helmeted cuirassed holding spear and shield","VIRT EX-ERC ROM","Emperor advancing right holding trophy and dragging captive","","","7","19.5","4.457","https://numismatics.org/collectionimages/19001949/1944/1944.100.54819.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54819.rev.width175.jpg","2024-05-13T05:30:23Z"
"http://numismatics.org/collection/1944.100.54820","Gold Solidus of Theodosius II, Constantinople, 420–422. 1944.100.54820","1944.100.54820","http://numismatics.org/ocre/id/ric.10.theo_ii_e.219","420","422","Theodosius II","","","Roman Empire","Theodosian Dynasty","Victory","Theodosius II","Solidus","Roman","Coin","","","","","Struck","Gold","","Constantinople","","","Thrace","RIC X Theodosius II (East) 219","","","RIC X Theodosius II (East) 219","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","D N THEODOSIVS P F AVG","Bust facing helmeted cuirassed holding spear and shield","VOT XX MVLT XXX","Victory standing left supporting large cross","","","6","22.0","4.472","https://numismatics.org/collectionimages/19001949/1944/1944.100.54820.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54820.rev.width175.jpg","2024-05-13T05:30:25Z"
