ID,Imperor,Image_path_av,Image_path_rev,meta,bbox_av_face,bbox_rev_img,URL
0,Constantine I,images\0_obv_Constantine I.jpg,images\0_rev_Constantine I.jpg,jsons\0_Constantine I.json,"[26.547531127929688, 33.39085388183594, 237.18109130859375, 293.1051330566406]",,https://numismatics.org/collection/1944.100.23777
1,Constantine I,images\1_obv_Constantine I.jpg,images\1_rev_Constantine I.jpg,jsons\1_Constantine I.json,"[71.06254577636719, 30.3085880279541, 264.385986328125, 275.8971862792969]",,https://numismatics.org/collection/1944.100.23891
2,Constantine I,images\2_obv_Constantine I.jpg,images\2_rev_Constantine I.jpg,jsons\2_Constantine I.json,"[38.27018356323242, 19.1252498626709, 264.710693359375, 300.0]",,https://numismatics.org/collection/1944.100.23892
3,Constantine I,images\3_obv_Constantine I.jpg,images\3_rev_Constantine I.jpg,jsons\3_Constantine I.json,"[63, 61, 233, 283]",,https://numismatics.org/collection/1944.100.23893
4,Constantine I,images\4_obv_Constantine I.jpg,images\4_rev_Constantine I.jpg,jsons\4_Constantine I.json,"[70, 61, 250, 286]",,https://numismatics.org/collection/1944.100.23894
5,Constantine I,images\5_obv_Constantine I.jpg,images\5_rev_Constantine I.jpg,jsons\5_Constantine I.json,"[67, 46, 236, 266]",,https://numismatics.org/collection/1944.100.23908
6,Constantine I,images\6_obv_Constantine I.jpg,images\6_rev_Constantine I.jpg,jsons\6_Constantine I.json,"[42.83360290527344, 37.30152893066406, 275.39508056640625, 280.67889404296875]",,https://numismatics.org/collection/1944.100.24519
7,Constantine I,images\7_obv_Constantine I.jpg,images\7_rev_Constantine I.jpg,jsons\7_Constantine I.json,"[69, 79, 237, 293]",,https://numismatics.org/collection/1944.100.1878
8,Constantine I,images\8_obv_Constantine I.jpg,images\8_rev_Constantine I.jpg,jsons\8_Constantine I.json,"[51, 75, 240, 289]",,https://numismatics.org/collection/1944.100.1879
9,Constantine I,images\9_obv_Constantine I.jpg,images\9_rev_Constantine I.jpg,jsons\9_Constantine I.json,"[69.58067321777344, 37.11724853515625, 270.3393859863281, 286.2220458984375]",,https://numismatics.org/collection/1944.100.20498
10,Constantine I,images\10_obv_Constantine I.jpg,images\10_rev_Constantine I.jpg,jsons\10_Constantine I.json,"[62, 46, 204, 268]",,https://numismatics.org/collection/1944.100.20582
11,Constantine I,images\11_obv_Constantine I.jpg,images\11_rev_Constantine I.jpg,jsons\11_Constantine I.json,"[89, 26, 238, 271]",,https://numismatics.org/collection/1944.100.20595
12,Constantine I,images\12_obv_Constantine I.jpg,images\12_rev_Constantine I.jpg,jsons\12_Constantine I.json,"[69, 42, 233, 283]",,https://numismatics.org/collection/1944.100.20596
13,Constantine I,images\13_obv_Constantine I.jpg,images\13_rev_Constantine I.jpg,jsons\13_Constantine I.json,"[32.77081298828125, 31.52372169494629, 260.0487976074219, 298.74822998046875]",,https://numismatics.org/collection/1933.999.312
14,Constantine I,images\14_obv_Constantine I.jpg,images\14_rev_Constantine I.jpg,jsons\14_Constantine I.json,"[53, 37, 241, 285]",,https://numismatics.org/collection/1933.999.332
15,Constantine I,images\15_obv_Constantine I.jpg,images\15_rev_Constantine I.jpg,jsons\15_Constantine I.json,"[41, 31, 229, 271]",,https://numismatics.org/collection/1933.999.333
16,Constantine I,images\16_obv_Constantine I.jpg,images\16_rev_Constantine I.jpg,jsons\16_Constantine I.json,"[73, 31, 243, 273]",,https://numismatics.org/collection/1933.999.334
17,Constantine I,images\17_obv_Constantine I.jpg,images\17_rev_Constantine I.jpg,jsons\17_Constantine I.json,"[65, 38, 251, 276]",,https://numismatics.org/collection/1933.999.335
