ID,Imperor,Image_path_av,bbox_av_face
0,Constantine I,images/0_obv_Constantine I.jpg,"[70, 40, 223, 279]"
1,Constantine I,images/1_obv_Constantine I.jpg,"[71.06254577636719, 30.3085880279541, 264.385986328125, 275.8971862792969]"
2,Constantine I,images/2_obv_Constantine I.jpg,"[38.27018356323242, 19.1252498626709, 264.710693359375, 300.0]"
3,Constantine I,images/3_obv_Constantine I.jpg,"[63, 61, 233, 283]"
4,Constantine I,images/4_obv_Constantine I.jpg,"[70, 61, 250, 286]"
5,Constantine I,images/5_obv_Constantine I.jpg,"[67, 46, 236, 266]"
6,Constantine I,images/6_obv_Constantine I.jpg,"[42.83360290527344, 37.30152893066406, 275.39508056640625, 280.67889404296875]"
7,Constantine I,images/7_obv_Constantine I.jpg,"[69, 79, 237, 293]"
8,Constantine I,images/8_obv_Constantine I.jpg,"[51, 75, 240, 289]"
9,Constantine I,images/9_obv_Constantine I.jpg,"[69.58067321777344, 37.11724853515625, 270.3393859863281, 286.2220458984375]"
10,Constantine I,images/10_obv_Constantine I.jpg,"[62, 46, 204, 268]"
11,Constantine I,images/11_obv_Constantine I.jpg,"[89, 26, 238, 271]"
12,Constantine I,images/12_obv_Constantine I.jpg,"[69, 42, 233, 283]"
13,Constantine I,images/13_obv_Constantine I.jpg,"[32.77081298828125, 31.52372169494629, 260.0487976074219, 298.74822998046875]"
14,Constantine I,images/14_obv_Constantine I.jpg,"[53, 37, 241, 285]"
15,Constantine I,images/15_obv_Constantine I.jpg,"[41, 31, 229, 271]"
16,Constantine I,images/16_obv_Constantine I.jpg,"[73, 31, 243, 273]"
17,Constantine I,images/17_obv_Constantine I.jpg,"[65, 38, 251, 276]"
18,Constantine I,images/18_obv_Constantine I.jpg,"[56, 37, 232, 283]"
19,Constantine I,images/19_obv_Constantine I.jpg,"[72.25788116455078, 34.992427825927734, 264.94110107421875, 300.0]"
20,Constantine I,images/20_obv_Constantine I.jpg,"[68, 36, 231, 286]"
