"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.19987","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19987","1944.100.19987","http://numismatics.org/ocre/id/ric.4.tr_d.98","250","251","Trajan Decius","","","Roman Empire","Severan Dynasty","","Severus Alexander","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 98","","","","RIC IV Trajan Decius 98","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO ALEXANDRO","Bust of Divus Severus Alexander, radiate, draped on left shoulder","CONSECRATIO","Rectangular altar, with four panels in front, lighted","","","12","21.0","3.541","https://numismatics.org/collectionimages/19001949/1944/1944.100.19987.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19987.rev.width175.jpg","2024-05-12T03:33:56Z"
"http://numismatics.org/collection/1944.100.19988","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19988","1944.100.19988","http://numismatics.org/ocre/id/ric.4.tr_d.98","250","251","Trajan Decius","","","Roman Empire","Severan Dynasty","","Severus Alexander","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 98","","","","RIC IV Trajan Decius 98","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO ALEXANDRO","Bust of Divus Severus Alexander, radiate, draped on left shoulder","CONSECRATIO","Rectangular altar, with four panels in front, lighted","","","1","23.0","3.815","https://numismatics.org/collectionimages/19001949/1944/1944.100.19988.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19988.rev.width175.jpg","2024-05-12T03:33:56Z"
"http://numismatics.org/collection/1933.999.594","Bronze As of Severus Alexander, Rome, 229. 1933.999.594","1933.999.594","http://numismatics.org/ocre/id/ric.4.sa.498b","229","229","Severus Alexander","","","Roman Empire","Severan Dynasty","","Severus Alexander","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC IV Severus Alexander 498b","","","","BMC.171.582||RIC IV Severus Alexander 498b","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","[IMP] SEV ALEXANDER AVG","Head, laureate, right","P M TR P VIII COS III P P/ S C","Severus Alexander, in quadriga, right","","","12","25.0","9.64","https://numismatics.org/collectionimages/19001949/1933/1933.999.594.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.594.rev.width175.jpg","2024-05-11T11:52:17Z"
"http://numismatics.org/collection/1933.999.598","Bronze Dupondius of Severus Alexander, Rome, 222–231. 1933.999.598","1933.999.598","http://numismatics.org/ocre/id/ric.4.sa.601","222","231","Severus Alexander","","","Roman Empire","Severan Dynasty","","Severus Alexander","Dupondius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC IV Severus Alexander 601","","","","BMC.167.546||RIC IV Severus Alexander 601","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","IMP SEV ALEXANDER AV[G]","Head, radiate, right (aegis?)","RESTITVTO[R MO]N/ S C","Severus Alexander, in military attire, standing front, extending right hand and holding a sceptre in left hand","","","12","26.0","11.32","https://numismatics.org/collectionimages/19001949/1933/1933.999.598.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.598.rev.width175.jpg","2024-05-11T11:52:18Z"
"http://numismatics.org/collection/1933.999.599","Bronze Sestertius of Severus Alexander, Rome, 222–231. 1933.999.599","1933.999.599","http://numismatics.org/ocre/id/ric.4.sa.620d","222","231","Severus Alexander","","","Roman Empire","Severan Dynasty","Victory","Severus Alexander","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC IV Severus Alexander 620d","","","","BMC.NOT||RIC IV Severus Alexander 620d","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","IMP CAES M AVR SEV ALEXANDER AVG","Bust, laureate, draped, cuirassed, right","VICTORIA AVGVSTI/ S C","Victory, standing left, holding wreath in right hand and palm branch in left hand","","","12","30.0","23.0","https://numismatics.org/collectionimages/19001949/1933/1933.999.599.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.599.rev.width175.jpg","2024-05-11T11:52:19Z"
"http://numismatics.org/collection/1934.999.707","Silver Denarius of Severus Alexander, Rome, 222–228. 1934.999.707","1934.999.707","http://numismatics.org/ocre/id/ric.4.sa.160d","222","228","Severus Alexander","","","Roman Empire","Severan Dynasty","Mars","Severus Alexander","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Severus Alexander 160d","","","","BMC.121.68||RIC IV Severus Alexander 160d","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","IMP C M AVR SEV ALEXAND AVG","Bust, laureate, draped, cuirassed, right","MARTI PACIFERO","Mars, standing front, holding branch in right and spear in left","","","6","19.5","2.6","https://numismatics.org/collectionimages/19001949/1934/1934.999.707.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.999.707.rev.width175.jpg","2024-05-11T11:57:02Z"
"http://numismatics.org/collection/1934.999.708","Bronze Sestertius of Severus Alexander, Rome, 222–231. 1934.999.708","1934.999.708","http://numismatics.org/ocre/id/ric.4.sa.618","222","231","Severus Alexander","","","Roman Empire","Severan Dynasty","Victory","Severus Alexander","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC IV Severus Alexander 618","","","","BMC.184.703||RIC IV Severus Alexander 618","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","IMP SEV ALEXANDER AVG","Head, laureate, draped on left shoulder, right","VICTORIA AVGVSTI/ S C","Victory, standing left, holding wreath in right hand and palm branch in left hand","","","12","30.0","24.0","https://numismatics.org/collectionimages/19001949/1934/1934.999.708.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.999.708.rev.width175.jpg","2024-05-11T11:57:03Z"
"http://numismatics.org/collection/1944.100.52437","Silver Denarius of Elagabalus, Rome, 221–222. 1944.100.52437","1944.100.52437","http://numismatics.org/ocre/id/ric.4.sa.3","221","221","Elagabalus||Severus Alexander","","","Roman Empire","Severan Dynasty","","Severus Alexander","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Severus Alexander 3","","","","BMC.571.266||RIC IV Severus Alexander 3","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","M AVR ALEXANDER CAES","Bust, draped, right","PIETAS AVG","Priestly emblems, lituus, knife, tall jug, simpulum and sprinkler","","","6","19.0","2.84","https://numismatics.org/collectionimages/19001949/1944/1944.100.52437.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.52437.rev.width175.jpg","2024-05-13T04:56:32Z"
"http://numismatics.org/collection/1944.100.52438","Silver Denarius of Elagabalus, Rome, 221–222. 1944.100.52438","1944.100.52438","http://numismatics.org/ocre/id/ric.4.sa.3","221","221","Elagabalus||Severus Alexander","","","Roman Empire","Severan Dynasty","","Severus Alexander","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Severus Alexander 3","Limoges Hoard","","","BMC.571.266||RIC IV Severus Alexander 3","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","M AVR ALEXANDER CAES","Bust, draped, right","PIETAS AVG","Priestly emblems, lituus, knife, tall jug, simpulum and sprinkler","","","12","19.5","2.99","https://numismatics.org/collectionimages/19001949/1944/1944.100.52438.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.52438.rev.width175.jpg","2024-05-13T04:56:33Z"
"http://numismatics.org/collection/1944.100.52439","Silver Denarius of Severus Alexander, Rome, 222. 1944.100.52439","1944.100.52439","http://numismatics.org/ocre/id/ric.4.sa.5c","222","222","Severus Alexander","","","Roman Empire","Severan Dynasty","Jupiter","Severus Alexander","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Severus Alexander 5c","Reka Devnia Hoard, Bulgaria, 1929","","","BMC.117.17||RIC IV Severus Alexander 5c","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","IMP C M AVR SEV ALEXAND AVG","Bust, laureate, draped, right","P M TR P COS P P","Jupiter, standing front, holding thunderbolt in right hand and vertical spear in left hand","","","7","20.0","2.9","https://numismatics.org/collectionimages/19001949/1944/1944.100.52439.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.52439.rev.width175.jpg","2024-05-13T04:56:34Z"
