"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.76077","Bronze Tessera of Gaius/Caligula, Uncertain value, 37–41. 1944.100.76077","1944.100.76077","","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","","Roman","Tessera","","","","","Struck","Bronze","","Uncertain","","","","","","","","Cohen.2","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Bust laur. cuir. l.; whole in border of dots within wreath","VI","Legend in border of dots within wreath","","","6","19.0","3.66","https://numismatics.org/collectionimages/19001949/1944/1944.100.76077.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.76077.rev.width175.jpg","2024-05-15T07:11:50Z"
"http://numismatics.org/collection/1944.100.40871","Silver Drachma of Gaius/Caligula, Gortyn, 37–41. 1944.100.40871","1944.100.40871","https://rpc.ashmus.ox.ac.uk/type/28135","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula||Augustus","Drachma","Roman","Coin","","","","","Struck","Silver","","Gortyn","","","Crete","RPC I, 965","","","","RPC I, 965||RPC.1.965","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","G KAISAR SEB GERM ARX MEG DHM EXOU UPA","Head r. with transverse sceptre over l. shoulder","","Head of Augustus rad. l. surrounded by seven stars","","","6","17.0","2.66","https://numismatics.org/collectionimages/19001949/1944/1944.100.40871.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.40871.rev.width175.jpg","2024-05-13T02:08:41Z"
"http://numismatics.org/collection/1944.100.39348","Bronze Quadrans of Gaius/Caligula, Rome, 40–41. 1944.100.39348","1944.100.39348","","40","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","Quadrans","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.79||ric.1(2).gai.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","C CAESAR DIVI AVG PRON AVG","Pileus flanked by S C","PON M TR P IIII P P COS QVAT","Legend surrounding RCC large in center of field","","","6","17.5","2.65","https://numismatics.org/collectionimages/19001949/1944/1944.100.39348.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.39348.rev.width175.jpg","2024-05-13T01:47:47Z"
"http://numismatics.org/collection/1906.236.219","Bronze Quadrans of Gaius/Caligula, Rome, 40–41. 1906.236.219","1906.236.219","","40","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","Quadrans","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.79||ric.1(2).gai.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","C CAESAR DIVI AVG PRON AVG","Pileus flanked by S C","PON M TR P IIII P P COS QVAT","Legend surrounding RCC large in center of field","","","6","18.0","3.97","https://numismatics.org/collectionimages/19001949/1906/1906.236.219.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1906/1906.236.219.rev.width175.jpg","2024-05-15T11:47:56Z"
"http://numismatics.org/collection/1906.236.220","Bronze Quadrans of Gaius/Caligula, Rome, 40–41. 1906.236.220","1906.236.220","","40","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","Quadrans","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.79||ric.1(2).gai.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","C CAESAR DIVI AVG PRON AVG","Pileus flanked by S C","PON M TR P IIII P P COS QVAT","Legend surrounding RCC large in center of field","","","","17.5","2.52","https://numismatics.org/collectionimages/19001949/1906/1906.236.220.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1906/1906.236.220.rev.width175.jpg","2024-05-15T11:47:58Z"
"http://numismatics.org/collection/1953.171.1075","Bronze As of Gaius/Caligula, Rome, 37–41. 1953.171.1075","1953.171.1075","","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Head l.","","legend within wreath","","","6","32.0","25.54","https://numismatics.org/collectionimages/19501999/1953/1953.171.1075.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1075.rev.width175.jpg","2024-05-13T06:25:09Z"
"http://numismatics.org/collection/1953.171.1078","Bronze As of Gaius/Caligula, Rome, 37–41. 1953.171.1078","1953.171.1078","","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Head l.","","figure std. l.","","","6","28.0","8.01","https://numismatics.org/collectionimages/19501999/1953/1953.171.1078.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1078.rev.width175.jpg","2024-05-13T06:25:11Z"
"http://numismatics.org/collection/1953.171.1079","Bronze As of Gaius/Caligula, Rome, 37–41. 1953.171.1079","1953.171.1079","","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Head l.","","figure std. l.","","","7","28.0","10.28","https://numismatics.org/collectionimages/19501999/1953/1953.171.1079.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1079.rev.width175.jpg","2024-05-13T06:25:12Z"
"http://numismatics.org/collection/1953.171.1080","Bronze As of Gaius/Caligula, Rome, 37–41. 1953.171.1080","1953.171.1080","","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Head l.","","figure std. l.","","","6","28.0","10.4","https://numismatics.org/collectionimages/19501999/1953/1953.171.1080.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1080.rev.width175.jpg","2024-05-13T06:25:14Z"
"http://numismatics.org/collection/1953.171.1082","Bronze As of Gaius/Caligula, Rome, 37–41. 1953.171.1082","1953.171.1082","","37","41","Gaius/Caligula","","","Roman Empire","Julio-Claudian Dynasty","","Gaius/Caligula","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Head l.","","figure std. l.","","","6","28.0","10.36","https://numismatics.org/collectionimages/19501999/1953/1953.171.1082.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1082.rev.width175.jpg","2024-05-13T06:25:16Z"
