"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.19983","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19983","1944.100.19983","http://numismatics.org/ocre/id/ric.4.tr_d.93","250","251","Trajan Decius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 93","","","","RIC IV Trajan Decius 93","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO COMMODO","Head of Divus Commodus, radiate, right","CONSECRATIO","Eagle, with open wings, standing front on bar, head right","","","6","23.0","3.494","https://numismatics.org/collectionimages/19001949/1944/1944.100.19983.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19983.rev.width175.jpg","2024-05-12T03:33:51Z"
"http://numismatics.org/collection/1944.100.19984","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19984","1944.100.19984","http://numismatics.org/ocre/id/ric.4.tr_d.93","250","251","Trajan Decius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 93","","","","RIC IV Trajan Decius 93","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO COMMODO","Head of Divus Commodus, radiate, right","CONSECRATIO","Eagle, with open wings, standing front on bar, head right","","","12","21.0","3.568","https://numismatics.org/collectionimages/19001949/1944/1944.100.19984.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19984.rev.width175.jpg","2024-05-12T03:33:52Z"
"http://numismatics.org/collection/1944.100.19985","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19985","1944.100.19985","http://numismatics.org/ocre/id/ric.4.tr_d.94","250","251","Trajan Decius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 94","","","","RIC IV Trajan Decius 94","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO COMMODO","Head of Divus Commodus, radiate, right","CONSECRATIO","Rectangular altar, with two panels in front, lighted","","","12","24.0","3.938","https://numismatics.org/collectionimages/19001949/1944/1944.100.19985.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19985.rev.width175.jpg","2024-05-12T03:33:53Z"
"http://numismatics.org/collection/1934.21.74","Billon Tetradrachm of Commodus, Alexandria, 182–183. 1934.21.74","1934.21.74","https://rpc.ashmus.ox.ac.uk/type/25605","182","183","Commodus","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus","Tetradrachm","Roman","Coin","","","","","Struck","Billon","","Alexandria","","","Egypt","RPC IV.4, 3406","","","","D.3898||M.2637Q||RPC IV.4, 3406","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Egypt/c10e5756-d07a-3476-bb66-2351b80a2e47","","","","","","","MAYPHKOM ANTU[NI]NOC","Head laureate, r.","Y[Π]AT OC TOΔ LKΓ","Zeus seated, l.","","","12","25.0","10.71","https://numismatics.org/collectionimages/19001949/1934/1934.21.74.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.21.74.rev.width175.jpg","2024-05-11T11:54:52Z"
"http://numismatics.org/collection/1934.76.6","Bronze As of Commodus, Rome, 186. 1934.76.6","1934.76.6","http://numismatics.org/ocre/id/ric.3.com.479","186","186","Commodus","","","Roman Empire","Nerva-Antonine Dynasty","Janus","Commodus","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Commodus 479","","","","BMC.585++||RIC III Commodus 479","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","[M] COM[M ANT P] FE[LIX AVG BRIT]","Head of Commodus, laureate, right","[P M TR P XI IMP VII COS V P P S C]","Janus, standing front, holding long sceptre in right hand, within shrine with curved roof and two columns","","","6","27.0","12.64","https://numismatics.org/collectionimages/19001949/1934/1934.76.6.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.76.6.rev.width175.jpg","2024-05-11T11:55:53Z"
"http://numismatics.org/collection/1944.100.49236","Silver Denarius of Marcus Aurelius, Rome, 161–176. 1944.100.49236","1944.100.49236","http://numismatics.org/ocre/id/ric.3.m_aur.712","161","176","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus||Faustina II||Antoninus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 712","","","","BMC.139||RIC III Marcus Aurelius 712","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","FAVSTINA AVGVSTA","Bust of Faustina II, draped, right, head bare, hair waved and fasten- ed in a bun at back of head and wearing stephane(or diadem).","SAECVLI FELICIT","Throne, draped and ornamented, on which are two infant boys.","","","12","18.5","3.59","https://numismatics.org/collectionimages/19001949/1944/1944.100.49236.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49236.rev.width175.jpg","2024-05-13T04:07:04Z"
"http://numismatics.org/collection/1944.100.49237","Silver Denarius of Marcus Aurelius, Rome, 161–176. 1944.100.49237","1944.100.49237","http://numismatics.org/ocre/id/ric.3.m_aur.712","161","176","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus||Faustina II||Antoninus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 712","","","","BMC.139||RIC III Marcus Aurelius 712","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","FAVSTINA AVGVSTA","Bust of Faustina II, draped, right, head bare, hair waved and fasten- ed in a bun at back of head and wearing stephane(or diadem).","SAECVLI FELICIT","Throne, draped and ornamented, on which are two infant boys.","","","6","16.25","3.21","https://numismatics.org/collectionimages/19001949/1944/1944.100.49237.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49237.rev.width175.jpg","2024-05-13T04:07:05Z"
"http://numismatics.org/collection/1944.100.49527","Bronze Sestertius of Marcus Aurelius, Rome, 161–176. 1944.100.49527","1944.100.49527","http://numismatics.org/ocre/id/ric.3.m_aur.1665","161","176","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus||Faustina II||Antoninus","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 1665","","","","BMC.936||RIC III Marcus Aurelius 1665","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","FAVSTINA AVGVSTA","Bust of Faustina II, draped, right, hair elaborately waved and in nearly horizontal lines and fastened in a chignon at back of head.","SAECVLI FELICIT/ S - C left and right, in field.","Throne(pulvinar), draped and ornamented, on which are two baby boys, seated, face to face, with stars above their heads.","","","12","34.0","27.33","https://numismatics.org/collectionimages/19001949/1944/1944.100.49527.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49527.rev.width175.jpg","2024-05-13T04:11:05Z"
"http://numismatics.org/collection/1944.100.49528","Bronze Sestertius of Marcus Aurelius, Rome, 161–176. 1944.100.49528","1944.100.49528","http://numismatics.org/ocre/id/ric.3.m_aur.1665","161","176","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus||Faustina II||Antoninus","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 1665","","","","BMC.939||RIC III Marcus Aurelius 1665","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","FAVSTINA AVGVSTA","Bust of Faustina II, draped, right, hair elaborately waved and in nearly horizontal lines and fastened in a chignon at back of head: round head, a stephane(or diadem).","SAECVLI FELICIT/ S C","Throne(pulvinar), draped and ornamented, on which are two baby boys, seated, face to face, with stars above their heads.","","","12","32.0","24.27","https://numismatics.org/collectionimages/19001949/1944/1944.100.49528.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49528.rev.width175.jpg","2024-05-13T04:11:06Z"
"http://numismatics.org/collection/1944.100.49529","Bronze Sestertius of Marcus Aurelius, Rome, 161–176. 1944.100.49529","1944.100.49529","http://numismatics.org/ocre/id/ric.3.m_aur.1665","161","176","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Commodus||Faustina II||Antoninus","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 1665","","","","BMC.940||RIC III Marcus Aurelius 1665","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","FAVSTINA AVGVSTA","Bust of Faustina II, draped, right, hair elaborately waved and in nearly horizontal lines and fastened in a chignon at back of head: round head, a stephane (or diadem).","SAECVLI FELICIT/ S - C left and right, in field.","Throne(pulvinar), draped and ornamented, on which are two baby boys, seated, face to face.( with no stars above their heads)","","","12","33.0","25.88","https://numismatics.org/collectionimages/19001949/1944/1944.100.49529.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49529.rev.width175.jpg","2024-05-13T04:11:07Z"
