"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.23777","Billon AE3 of Constantius II, Constantinople, 337–340. 1944.100.23777","1944.100.23777","http://numismatics.org/ocre/id/ric.8.cnp.37","337","340","Constantius II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Constantinople","","","Thrace","RIC VIII Constantinople 37","","","RIC VIII Constantinople 37","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","[DV] CONSTANTI-NVS PT AVGG","Bust veiled draped cuirassed right","","Emperor, veiled, to right in quadriga; the hand of God reaching down to him","","","6","14.5","1.45","https://numismatics.org/collectionimages/19001949/1944/1944.100.23777.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23777.rev.width175.jpg","2024-05-15T12:59:28Z"
"http://numismatics.org/collection/1944.100.23891","Billon AE3 of Constantius II, Constantinople, 337–340. 1944.100.23891","1944.100.23891","http://numismatics.org/ocre/id/ric.8.cnp.37","337","340","Constantius II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Constantinople","","","Thrace","RIC VIII Constantinople 37","","","RIC VIII Constantinople 37","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DV CONSTANTI-NVS PT AVGG","Bust veiled draped cuirassed right","","Emperor, veiled, to right in quadriga; the hand of God reaches down to him","","","6","15.5","1.82","https://numismatics.org/collectionimages/19001949/1944/1944.100.23891.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23891.rev.width175.jpg","2024-05-15T01:01:24Z"
"http://numismatics.org/collection/1944.100.23892","Billon AE3 of Constantius II, Nicomedia, 337–340. 1944.100.23892","1944.100.23892","http://numismatics.org/ocre/id/ric.8.nic.18","337","340","Constantius II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Nicomedia","","","Bithynia","RIC VIII Nicomedia 18","","","RIC VIII Nicomedia 18","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DV CONSTANTI-NVS [PT AVGG]","Bust veiled draped cuirassed right","","Emperor, veiled, to right in quadriga; the hand of God reaches down to him","","","12","14.5","1.55","https://numismatics.org/collectionimages/19001949/1944/1944.100.23892.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23892.rev.width175.jpg","2024-05-15T01:01:25Z"
"http://numismatics.org/collection/1944.100.23893","Billon AE3 of Constantius II, Cyzicus, 337–340. 1944.100.23893","1944.100.23893","http://numismatics.org/ocre/id/ric.8.cyz.25","337","340","Constantius II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Cyzicus","","","Mysia","RIC VIII Cyzicus 25","","","RIC VIII Cyzicus 25","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DV CONSTAN[TI-NVS] PT AVGG","Head veiled right","","Emperor, veiled, to right in quadriga; the hand of God reaches down to him","","","6","15.5","1.71","https://numismatics.org/collectionimages/19001949/1944/1944.100.23893.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23893.rev.width175.jpg","2024-05-15T01:01:26Z"
"http://numismatics.org/collection/1944.100.23894","Billon AE3 of Constantius II, Nicomedia, 347–348. 1944.100.23894","1944.100.23894","http://numismatics.org/ocre/id/ric.8.nic.54","347","348","Constantius II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Nicomedia","","","Bithynia","RIC VIII Nicomedia 54","","","RIC VIII Nicomedia 54","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DV CONSTANTI-NVS [PT AVGG]","Bust veiled draped cuirassed right","VN MR","Emperor, standing right, veiled, raising right hand","","","12","13.0","1.51","https://numismatics.org/collectionimages/19001949/1944/1944.100.23894.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23894.rev.width175.jpg","2024-05-15T01:01:27Z"
"http://numismatics.org/collection/1944.100.23908","Billon AE3 of Constantius II, Antioch, Syria, 337–347. 1944.100.23908","1944.100.23908","http://numismatics.org/ocre/id/ric.8.anch.37","337","347","Constantius II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Antioch, Syria||Antioch","","","Seleucis and Pieria||Syria","RIC VIII Antioch 37","","","RIC VIII Antioch 37","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DV CONSTANTI-NVS PT AVGG","Bust veiled draped cuirassed right","","Emperor, veiled, to right in quadriga; the hand of God reaching down to him","","","12","17.0","1.44","https://numismatics.org/collectionimages/19001949/1944/1944.100.23908.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23908.rev.width175.jpg","2024-05-15T01:01:42Z"
"http://numismatics.org/collection/1944.100.24519","Bronze Nummus of Constantine I, Nicomedia, 324–325. 1944.100.24519","1944.100.24519","","324","325","Constantine I","","","Roman Empire","Constantinian Dynasty","","Constantine I","Nummus","Roman","Coin","","","","","Struck","Bronze","","Nicomedia","","","Bithynia","","IGCH 168","","RIC.90","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255","","","","","","","CONSTANTINVS AVG","Head laureate, r.","PROVIDENTIAE AVGG","Camp gate, two turrets, no doors, star above varying number of stone layers","","","9","","16.92","https://numismatics.org/collectionimages/19001949/1944/1944.100.24519.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.24519.rev.width175.jpg","2024-05-15T01:08:05Z"
"http://numismatics.org/collection/1944.100.1878","Bronze AE2 of Maximinus Daia, Alexandria, 313. 1944.100.1878","1944.100.1878","http://numismatics.org/ocre/id/ric.6.alex.163","313","313","Maximinus Daia","","","Roman Empire","Constantinian Dynasty","Genius","Constantine I","AE2","Roman","Coin","","","","","Struck","Bronze","","Alexandria","","","Egypt","RIC VI Alexandria 163","","","RIC VI Alexandria 163","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","FL VALER CONSTANTINVS P F AVG","Head laureate, right","GENIO - AVGVSTI","Genius standing left holding head of Serapis in right and cornucopiae in left","","","6","20.0","4.83","https://numismatics.org/collectionimages/19001949/1944/1944.100.1878.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.1878.rev.width175.jpg","2024-05-12T03:20:20Z"
"http://numismatics.org/collection/1944.100.1879","Bronze AE2 of Maximinus Daia, Alexandria, 313. 1944.100.1879","1944.100.1879","http://numismatics.org/ocre/id/ric.6.alex.163","313","313","Maximinus Daia","","","Roman Empire","Constantinian Dynasty","Genius","Constantine I","AE2","Roman","Coin","","","","","Struck","Bronze","","Alexandria","","","Egypt","RIC VI Alexandria 163","","","RIC VI Alexandria 163","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","FL VALER CONSTANTNIVS P F AVG","Head laureate, right","GENIO - AVGVSTI•","Genius standing left holding head of Serapis in right and cornucopiae in left","","","6","23.0","4.85","https://numismatics.org/collectionimages/19001949/1944/1944.100.1879.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.1879.rev.width175.jpg","2024-05-12T03:20:28Z"
"http://numismatics.org/collection/1944.100.20498","Billon AE3 of Constantine II, Arelate, 337–340. 1944.100.20498","1944.100.20498","http://numismatics.org/ocre/id/ric.8.ar.40","337","340","Constantine II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Arelate","","","Gallia","RIC VIII Arelate 40","","","RIC VIII Arelate 40","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","[DIVO CONS]-TANTINO P","Bust veiled right","AETERNA - PIETAS","Emperor in military dress standing, holding spear and globe","","","6","15.5","1.45","https://numismatics.org/collectionimages/19001949/1944/1944.100.20498.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.20498.rev.width175.jpg","2024-05-12T03:40:17Z"
"http://numismatics.org/collection/1944.100.20582","Billon AE3 of Constantine II, Trier, 337–340. 1944.100.20582","1944.100.20582","http://numismatics.org/ocre/id/ric.8.tri.44","337","340","Constantine II","","","Roman Empire","Constantinian Dynasty","","Constantine I","AE3","Roman","Coin","","","","","Struck","Billon||Bronze","","Trier","","","Gallia","RIC VIII Treveri 44","","","RIC VIII Treveri 44","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Laterempire/9e06d419-408c-364f-9f0e-e1032e10a171","","","","","","","DIV CO[NSTAN]TI-NVS PT AVGG","Bust veiled draped cuirassed right","","Emperor, veiled, to right in quadriga; the hand of God reaches down to him","","","12","16.0","1.56","https://numismatics.org/collectionimages/19001949/1944/1944.100.20582.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.20582.rev.width175.jpg","2024-05-12T03:41:48Z"
