"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1933.999.33","Bronze AE1 of Diocletian, Alexandria, 300. 1933.999.33","1933.999.33","http://numismatics.org/ocre/id/ric.6.alex.31a","300","300","Diocletian","","","Roman Empire","Constantinian Dynasty","Genius","Constantius Chlorus","AE1","Roman","Coin","","","","","Struck","Bronze","","Alexandria","","","Egypt","RIC VI Alexandria 31a","","","","RIC VI Alexandria 31a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","FL VAL CONSTANTIVS NOB CAES","Head laureate right","GENIO POPV-L-I ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","11","25.5","9.69","https://numismatics.org/collectionimages/19001949/1933/1933.999.33.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.33.rev.width175.jpg","2024-05-11T11:48:48Z"
"http://numismatics.org/collection/1933.999.36","Bronze AE1 of Diocletian, Alexandria, 301. 1933.999.36","1933.999.36","http://numismatics.org/ocre/id/ric.6.alex.33a","301","301","Diocletian","","","Roman Empire","Constantinian Dynasty","Genius","Constantius Chlorus","AE1","Roman","Coin","","","","","Struck","Bronze","","Alexandria","","","Egypt","RIC VI Alexandria 33a","","","","RIC VI Alexandria 33a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","FL VAL CONSTANTIVS NOB CAES","Head laureate right","GENIO POPV-L-I ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","11","25.5","10.46","https://numismatics.org/collectionimages/19001949/1933/1933.999.36.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.36.rev.width175.jpg","2024-05-11T11:49:23Z"
"http://numismatics.org/collection/1933.999.58","Bronze AE1 of Maximian, Ticinum, 294–295. 1933.999.58","1933.999.58","http://numismatics.org/ocre/id/ric.6.tic.30a","294","296","Maximian","","","Roman Empire","Constantinian Dynasty","Genius","Constantius Chlorus","AE1","Roman","Coin","","","","","Struck","Bronze","","Ticinum","","","Italy","RIC VI Ticinum 30a","","","","RIC VI Ticinum 30a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","CONSTANTIVS NOB CAES","Head laureate right","GENIO POPV-LI ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","6","26.5","11.02","https://numismatics.org/collectionimages/19001949/1933/1933.999.58.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.58.rev.width175.jpg","2024-05-11T11:52:16Z"
"http://numismatics.org/collection/1933.999.69","Bronze Nummus of Maximian, Rome, 299. 1933.999.69","1933.999.69","http://numismatics.org/ocre/id/ric.6.rom.95a","299","299","Maximian","","","Roman Empire","Constantinian Dynasty","Genius","Constantius Chlorus","Nummus||AE1","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC VI Rome 95a","","","","RIC VI Rome 95a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","CONSTANTIVS NOB CAES","Head laureate right","GENIO POPV-LI ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","12","26.0","8.81","https://numismatics.org/collectionimages/19001949/1933/1933.999.69.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.69.rev.width175.jpg","2024-05-11T11:52:38Z"
"http://numismatics.org/collection/1933.999.72","Bronze Nummus of Maximian, Rome, 302–303. 1933.999.72","1933.999.72","http://numismatics.org/ocre/id/ric.6.rom.106a","302","303","Maximian","","","Roman Empire","Constantinian Dynasty","Moneta","Constantius Chlorus","Nummus||AE1","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC VI Rome 106a","","","","RIC VI Rome 106a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","CONSTANTIVS NOB CAES","Head laureate right","SAC MON VRB AVGG ET CAESS NN","Moneta standing left holding scales in right and cornucopiae in left","","","6","26.5","8.89","https://numismatics.org/collectionimages/19001949/1933/1933.999.72.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.72.rev.width175.jpg","2024-05-11T11:52:43Z"
"http://numismatics.org/collection/1934.21.103","Bronze AE1 of Maximian, Ticinum, 300–303. 1934.21.103","1934.21.103","http://numismatics.org/ocre/id/ric.6.tic.44a","300","303","Maximian","","","Roman Empire","Constantinian Dynasty","Moneta","Constantius Chlorus","AE1","Roman","Coin","","","","","Struck","Bronze","","Ticinum","","","Italy","RIC VI Ticinum 44a","","","","RIC VI Ticinum 44a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","CONSTANTIVS NOB CAES","Head laureate right","SACRA MONET AVGG - ET CAESS NOSTR","Moneta standing left holding scales in right and cornucopiae in left","","","12","25.0","9.35","https://numismatics.org/collectionimages/19001949/1934/1934.21.103.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.21.103.rev.width175.jpg","2024-05-11T11:53:35Z"
"http://numismatics.org/collection/1934.74.1","Bronze AE1 of Maximian, Carthage, 305–306. 1934.74.1","1934.74.1","http://numismatics.org/ocre/id/ric.6.carth.39a","306","306","Maximian||Constantius Chlorus","","","Roman Empire","Constantinian Dynasty","Carthage","Constantius Chlorus","AE1","Roman","Coin","","","","","Struck","Bronze","","Carthage","","","Zeugitana","RIC VI Carthage 39a","","","","RIC VI Carthage 39a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP CONSTANTIVS P F AVG","Head laureate right","SALVIS AVGG ET CAESS FEL KART","Carthago standing facing, head left, holding fruits in both hands","","","6","28.0","9.21","https://numismatics.org/collectionimages/19001949/1934/1934.74.1.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.74.1.rev.width175.jpg","2024-05-11T11:55:32Z"
"http://numismatics.org/collection/1934.76.1","Bronze AE1 of Maximian, Trier, 298–299. 1934.76.1","1934.76.1","http://numismatics.org/ocre/id/ric.6.tri.329","298","299","Maximian","","","Roman Empire","Constantinian Dynasty","Genius","Constantius Chlorus","AE1","Roman","Coin","","","","","Struck","Bronze","","Trier","","","Gallia","RIC VI Treveri 329","","","","RIC VI Treveri 329","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","FL VAL CONSTANTIVS NOB C","Head laureate cuirassed right","GENIO POPV-LI ROMANI","Genius standing left, holding patera and cornucopiae","","","6","26.5","9.82","https://numismatics.org/collectionimages/19001949/1934/1934.76.1.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.76.1.rev.width175.jpg","2024-05-11T11:55:50Z"
"http://numismatics.org/collection/1944.100.3158","Bronze Nummus of Maximian, Rome, 294–298. 1944.100.3158","1944.100.3158","http://numismatics.org/ocre/id/ric.6.rom.102a","294","301","Maximian","","","Roman Empire","Constantinian Dynasty","Moneta","Constantius Chlorus","Nummus||AE1","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC VI Rome 102a","","Cairo","","RIC VI Rome 102a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","CONSTANTIVS NOB CAES","Head laur. r.","SACRA MON VRB AVGG ET CAESS NN","Moneta stg. l. holding scales in r. and cornucopiae in l.","","","6","27.0","10.39","https://numismatics.org/collectionimages/19001949/1944/1944.100.3158.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.3158.rev.width175.jpg","2024-05-12T11:43:29Z"
"http://numismatics.org/collection/1944.100.3160","Silver Argenteus of Maximian, Carthage, 300. 1944.100.3160","1944.100.3160","http://numismatics.org/ocre/id/ric.6.carth.16a","300","300","Maximian","","","Roman Empire","Constantinian Dynasty","","Constantius Chlorus","Argenteus||Uncertain value","Roman","Coin","","","","","Struck","Silver","","Carthage","","","Zeugitana","RIC VI Carthage 16a","","","","RIC VI Carthage 16a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","CONSTAN-TIVS CAES","Head laureate right","XC / VI","Legend in wreath","","","5","17.0","2.07","https://numismatics.org/collectionimages/19001949/1944/1944.100.3160.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.3160.rev.width175.jpg","2024-05-12T11:43:50Z"
