"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.23902","Bronze AE1 of Maximian, Siscia, 294. 1944.100.23902","1944.100.23902","http://numismatics.org/ocre/id/ric.6.sis.79a","294","294","Maximian","","","Roman Empire","","Genius","Diocletian","AE1","Roman","Coin","","","","","Struck","Bronze","","Siscia","","","Pannonia","RIC VI Siscia 79a","","","","RIC VI Siscia 79a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C DIOCLETIANVS P F AVG","Head laureate right","GENIO POP-VLI ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","6","27.0","10.62","https://numismatics.org/collectionimages/19001949/1944/1944.100.23902.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.23902.rev.width175.jpg","2024-05-15T01:01:37Z"
"http://numismatics.org/collection/1933.999.34","Bronze AE1 of Diocletian, Alexandria, 301. 1933.999.34","1933.999.34","http://numismatics.org/ocre/id/ric.6.alex.32a","301","301","Diocletian","","","Roman Empire","","Genius","Diocletian","AE1","Roman","Coin","","","","","Struck","Bronze","","Alexandria","","","Egypt","RIC VI Alexandria 32a","","","","RIC VI Alexandria 32a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C DIOCLETIANVS P F AVG","Head laureate right","GENIO POPV-L-I ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","12","27.0","10.28","https://numismatics.org/collectionimages/19001949/1933/1933.999.34.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.34.rev.width175.jpg","2024-05-11T11:49:00Z"
"http://numismatics.org/collection/1933.999.68","Bronze AE1 of Maximian, Rome, 296–297. 1933.999.68","1933.999.68","http://numismatics.org/ocre/id/ric.6.rom.64a","296","297","Maximian","","","Roman Empire","","Genius","Diocletian","AE1","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC VI Rome 64a","","","","RIC VI Rome 64a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C DIOCLETIANVS P F AVG","Head laureate right","GENIO POPV-LI ROMANI","Genius standing left holding patera in right and cornucopiae in left","","","6","25.5","11.02","https://numismatics.org/collectionimages/19001949/1933/1933.999.68.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.68.rev.width175.jpg","2024-05-11T11:52:37Z"
"http://numismatics.org/collection/1933.999.71","Bronze Nummus of Maximian, Rome, 302–303. 1933.999.71","1933.999.71","http://numismatics.org/ocre/id/ric.6.rom.103a","302","303","Maximian","","","Roman Empire","","Moneta","Diocletian","Nummus||AE1","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC VI Rome 103a","","","","RIC VI Rome 103a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C DIOCLETIANVS P F AVG","Head laureate right","SACRA MON VRB AVGG ET CAESS NN","Moneta standing left holding scales in right and cornucopiae in left","","","5","19.0","8.63","https://numismatics.org/collectionimages/19001949/1933/1933.999.71.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.71.rev.width175.jpg","2024-05-11T11:52:40Z"
"http://numismatics.org/collection/1934.21.60","Silver Antoninianus of Diocletian, Cyzicus, 284–294. 1934.21.60","1934.21.60","http://numismatics.org/ocre/id/ric.5.dio.306","284","294","Diocletian","","","Roman Empire","","Jupiter","Diocletian","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Cyzicus","","","Mysia","RIC V Diocletian 306","","","","RIC V Diocletian 306","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C C VAL DIOCL[ETI]ANVS AVG","Bust radiate, draped, right","CONCORDIA MILITVM","Emperor standing left, holding sceptre, receiving Victory from Jupiter standing, right, holding sceptre","","","6","21.5","4.64","https://numismatics.org/collectionimages/19001949/1934/1934.21.60.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.21.60.rev.width175.jpg","2024-05-11T11:54:36Z"
"http://numismatics.org/collection/1934.21.76","Bronze AE1 of Diocletian, Antioch, Syria, 298. 1934.21.76","1934.21.76","http://numismatics.org/ocre/id/ric.6.anch.50a","298","298","Diocletian","","","Roman Empire","","Genius","Diocletian","AE1","Roman","Coin","","","","","Struck","Bronze","","Antioch, Syria||Antioch","","","Seleucis and Pieria||Syria","RIC VI Antioch 50a","","","","RIC VI Antioch 50a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C DIOCLETIANVS P F AVG","Head laureate right","GENIO POPV-L-I ROMANI","Genius standing left pouring liquid from patera in right and cornucopiae in left","","","6","28.5","10.15","https://numismatics.org/collectionimages/19001949/1934/1934.21.76.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.21.76.rev.width175.jpg","2024-05-11T11:54:54Z"
"http://numismatics.org/collection/1934.74.7","Silver Antoninianus of Diocletian, Cyzicus, 284–292. 1934.74.7","1934.74.7","http://numismatics.org/ocre/id/ric.6.cyz.15a","284","299","Diocletian","","","Roman Empire","","","Diocletian","Antoninianus||Fraction","Roman","Coin","","","","","Struck","Silver||Bronze","","Cyzicus","","","Mysia","RIC VI Cyzicus 15a","","","","RIC VI Cyzicus 15a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Tetrarchy/f39e1d15-b19d-3855-b632-16681d06e98b","","","","","","","IMP C C VAL DIOCLETIANVS P F AVG","Bust radiate, cuirassed, r.","CONCORDIA MI-LITVM","Emperor standing, l., holding sceptre, receiving Victory from Jupiter standing, r., holding sceptre","","","12","22.0","3.64","https://numismatics.org/collectionimages/19001949/1934/1934.74.7.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.74.7.rev.width175.jpg","2024-05-11T11:55:48Z"
"http://numismatics.org/collection/1935.117.1000","Billon Tetradrachm of Diocletian, Alexandria, 285–286. 1935.117.1000","1935.117.1000","https://rpc.ashmus.ox.ac.uk/type/75911","285","286","Diocletian","","","Roman Empire","","","Diocletian","Tetradrachm","Roman","Coin","","","","","","Billon","","Alexandria","","","Egypt","RPC X, — (number not assigned), type ID 75911","","","","D.5645||M.4768||RPC X, — (number not assigned), type ID 75911","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Egypt/c10e5756-d07a-3476-bb66-2351b80a2e47","","","","","","","A K G OVAL DIOKLETIANOS SEB","Bust laur. cuir. r.","L Β","Dikaiosyne stg. l.","","","12","18.0","6.54","https://numismatics.org/collectionimages/19001949/1935/1935.117.1000.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1935/1935.117.1000.rev.width175.jpg","2024-05-11T11:57:17Z"
"http://numismatics.org/collection/1935.117.1001","Billon Tetradrachm of Diocletian, Alexandria, 285–286. 1935.117.1001","1935.117.1001","https://rpc.ashmus.ox.ac.uk/type/75929","285","286","Diocletian","","","Roman Empire","","","Diocletian","Tetradrachm","Roman","Coin","","","","","","Billon","","Alexandria","","","Egypt","RPC X, — (number not assigned), type ID 75929","","","","D.5702||M.4797||RPC X, — (number not assigned), type ID 75929","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Egypt/c10e5756-d07a-3476-bb66-2351b80a2e47","","","","","","","A K G OVA DIOKLETIANOS SEB","Bust laur. cuir. r.","L Β","Homonoia stg. l.","","","12","20.0","7.85","https://numismatics.org/collectionimages/19001949/1935/1935.117.1001.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1935/1935.117.1001.rev.width175.jpg","2024-05-11T11:57:18Z"
"http://numismatics.org/collection/1935.117.1002","Billon Tetradrachm of Diocletian, Alexandria, 285–286. 1935.117.1002","1935.117.1002","https://rpc.ashmus.ox.ac.uk/type/75940","285","286","Diocletian","","","Roman Empire","","","Diocletian","Tetradrachm","Roman","Coin","","","","","","Billon","","Alexandria","","","Egypt","RPC X, — (number not assigned), type ID 75940","","","","D.5774||M.4762||RPC X, — (number not assigned), type ID 75940","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Egypt/c10e5756-d07a-3476-bb66-2351b80a2e47","","","","","","","A K G OVAL DIOKLETIANOS SEB","Bust laur. cuir. r.","L Β","Zeus stg. l.","","","12","20.0","7.42","https://numismatics.org/collectionimages/19001949/1935/1935.117.1002.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1935/1935.117.1002.rev.width175.jpg","2024-05-11T11:57:19Z"
