"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.54528","Silver Tetradrachm of Domitian, Tarsus, 83–96. 1944.100.54528","1944.100.54528","https://rpc.ashmus.ox.ac.uk/type/7803","83","96","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC II, 1728","","","","RPC II, 1728","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVTO KAI THE VI DOMITIANOS SE GER","Head laur. r.; bead and reel border","METROPOLEOS; in field r., TAR","Tyche of city std. r. on rock holding palm branch in r.; beneath, river god Kydnos swimming r.","","","12","26.0","14.21","https://numismatics.org/collectionimages/19001949/1944/1944.100.54528.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54528.rev.width175.jpg","2024-05-13T05:25:00Z"
"http://numismatics.org/collection/1944.100.54529","Silver Tetradrachm of Domitian, Tarsus, 83–96. 1944.100.54529","1944.100.54529","https://rpc.ashmus.ox.ac.uk/type/7802","83","96","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC II, 1727","","","","RPC II, 1727","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVTO KAI THE VI DOMITIANOS SE GER","Head laur. r.; bead and reel border","METROPOLEOS; in field r., TAR","Tyche of city std. r. on rock holding palm branch in r.; beneath, river god Kydnos swimming r.","","","12","25.5","13.85","https://numismatics.org/collectionimages/19001949/1944/1944.100.54529.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54529.rev.width175.jpg","2024-05-13T05:25:01Z"
"http://numismatics.org/collection/1944.100.54627","Bronze As of Domitian, Rome, 81–96. 1944.100.54627","1944.100.54627","","81","96","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.||RIC.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Flavians/6a6fd475-842b-306b-8658-6c60810a2c5a","","","","","","","[...] DOMIT [...] P P","Head of Domitian, laureate, right?","","Quadriga right","","","","","12.072","https://numismatics.org/collectionimages/19001949/1944/1944.100.54627.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54627.rev.width175.jpg","2024-05-13T05:26:38Z"
"http://numismatics.org/collection/1944.100.54628","Bronze As of Domitian, Rome, 81–96. 1944.100.54628","1944.100.54628","","81","96","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.||ric.2_1(2).dom.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Flavians/6a6fd475-842b-306b-8658-6c60810a2c5a","","","","","","","IMP CAES DOMIT AVG GERM COS XVI CENS PER P P","Head of Domitian, laureate, right","","","","","12","28.0","10.993","https://numismatics.org/collectionimages/19001949/1944/1944.100.54628.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54628.rev.width175.jpg","2024-05-13T05:26:39Z"
"http://numismatics.org/collection/1949.54.1","Silver Denarius of Domitian, Rome, 83. 1949.54.1","1949.54.1","","83","83","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian||Domitia","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium","","","","","BMC.44v||ric.2_1(2).dom.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Flavians/6a6fd475-842b-306b-8658-6c60810a2c5a","","","","","","","DOMITIA AVGVSTA IMP DOMIT","Bust of Domitia, draped, right; hair bundled in front and in long plait in back","TR POT II COS VIIII DES X P P","Minerva standing left, holding spear","","","5","18.0","2.97","https://numismatics.org/collectionimages/19001949/1949/1949.54.1.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1949/1949.54.1.rev.width175.jpg","2024-05-13T05:35:29Z"
"http://numismatics.org/collection/1926.4.1","Bronze As of Domitian, Rome, 81–96. 1926.4.1","1926.4.1","","81","96","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","As","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.||ric.2_1(2).dom.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Flavians/6a6fd475-842b-306b-8658-6c60810a2c5a","","","","","","","[...]AES DOMIT [...]","Head of Domitian, laureate, right","VIRTVTI AVGVSTI S C","Virtus standing right, resting foot on helmet, holding spear and parazonium","","","6","28.0","11.012","https://numismatics.org/collectionimages/19001949/1926/1926.4.1.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1926/1926.4.1.rev.width175.jpg","2024-05-11T11:13:06Z"
"http://numismatics.org/collection/1927.75.3","Bronze Obol of Domitian, Alexandria, 91–92. 1927.75.3","1927.75.3","","91","92","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","Obol","Roman","Coin","","","","","","Bronze","","Alexandria","","","Egypt","","","","","D.538||M.514","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Egypt/c10e5756-d07a-3476-bb66-2351b80a2e47","","","","","","","AVT KAISAR DOMIT SEB GERM","Head laur. r.","","Modius between two torches","","","12","","3.71","https://numismatics.org/collectionimages/19001949/1927/1927.75.3.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1927/1927.75.3.rev.width175.jpg","2024-05-11T11:17:57Z"
"http://numismatics.org/collection/1967.153.134","Bronze Sestertius of Domitian, Rome, 88–89. 1967.153.134","1967.153.134","","88","89","Domitian","","","Roman Empire","Flavian Dynasty","","Domitian","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.not||RIC.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","Forgery","","IMP CAES DOMIT AVG GERM COS XIIII CENS PER P P","Head of Domitian, laureate, right","PONT MAX TR P VIII LVD SAEC|S C","Domitian seated left on platform inscribed SVF P D, handing suffimenta to male citizen; child extends arms upward toward him. In background, facade of tetrastyle temple.","","","6","34.0","29.76","https://numismatics.org/collectionimages/19501999/1967/1967.153.134.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1967/1967.153.134.rev.width175.jpg","2024-05-16T11:17:10Z"
"http://numismatics.org/collection/1952.142.334","Silver Didrachm of Vespasian, Uncertain value, 76–77. 1952.142.334","1952.142.334","https://rpc.ashmus.ox.ac.uk/type/7964","76","77","Vespasian","","","Roman Empire","Flavian Dynasty","","Domitian","Didrachm","Roman","Coin","","","","","Struck","Silver","","Uncertain","","","Cyprus","RPC II, 1811","","","","RPC II, 1811","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","DOMITIANOS KAISAR","Head laur. r.","ETOVS NEOV IEROV 9","Temple of Aphrodite at Paphos, conical image within","","","12","20.0","6.09","https://numismatics.org/collectionimages/19501999/1952/1952.142.334.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1952/1952.142.334.rev.width175.jpg","2024-05-13T06:15:28Z"
"http://numismatics.org/collection/1952.142.335","Silver Didrachm of Vespasian, Uncertain value, 76–77. 1952.142.335","1952.142.335","https://rpc.ashmus.ox.ac.uk/type/7964","76","77","Vespasian","","","Roman Empire","Flavian Dynasty","","Domitian","Didrachm","Roman","Coin","","","","","Struck","Silver","","Uncertain","","","Cyprus","RPC II, 1811","","","","RPC II, 1811","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","DOMITIANOS KAISAR","Head laur. r.","ETOVS NEOV IEROV 9","Temple of Aphrodite at Paphos, conical image within","","","12","21.0","5.04","https://numismatics.org/collectionimages/19501999/1952/1952.142.335.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1952/1952.142.335.rev.width175.jpg","2024-05-13T06:15:29Z"
