"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.19980","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19980","1944.100.19980","http://numismatics.org/ocre/id/ric.4.tr_d.87","250","251","Trajan Decius","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 87","","","","RIC IV Trajan Decius 87","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO HADRIANO","Head of Divus Hadrian, radiate, right","CONSECRATIO","Eagle, with open wings, standing front on bar, head right","","","1","24.0","3.76","https://numismatics.org/collectionimages/19001949/1944/1944.100.19980.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19980.rev.width175.jpg","2024-05-12T03:33:48Z"
"http://numismatics.org/collection/1933.999.612","Billon Tetradrachm of Hadrian, Alexandria, 124–125. 1933.999.612","1933.999.612","","124","125","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Tetradrachm","Roman","Coin","","","","","","Billon","","Alexandria","","","Egypt","","","","","D.1493||M.1092","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Egypt/c10e5756-d07a-3476-bb66-2351b80a2e47","","","","","","","AVT KAI TRAI ADRIA SEB","Bust laureate, draped, cuirassed, r.","","Tyche standing, l.","","","12","","13.71","https://numismatics.org/collectionimages/19001949/1933/1933.999.612.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1933/1933.999.612.rev.width175.jpg","2024-05-11T11:52:27Z"
"http://numismatics.org/collection/1944.100.54531","Silver Tetradrachm of Hadrian, Tarsus, 117–138. 1944.100.54531","1944.100.54531","https://rpc.ashmus.ox.ac.uk/type/11918","117","138","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC III, 3261","","","","PrieurST.761||RPC III, 3261","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVT KAI THE TRA PAR VI THE NER VI TRAI ADRIANOS SEB","Head laureate, r.","TARSEON METROPOLEOS","Tyche of city seated, l. on throne holding palm branch in r.; to l., river god Kydnos swimming l.","","","12","25.5","9.59","https://numismatics.org/collectionimages/19001949/1944/1944.100.54531.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54531.rev.width175.jpg","2024-05-13T05:25:04Z"
"http://numismatics.org/collection/1944.100.54532","Silver Tetradrachm of Hadrian, Tarsus, 117–138. 1944.100.54532","1944.100.54532","https://rpc.ashmus.ox.ac.uk/type/11916","117","138","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC III, 3259","","","","PrieurST.759||RPC III, 3259","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVT KAI THE TRA PAR VI THE NER VI TRAI ADRIANOS SE","Head laureate, r., bead and reel border","TAR/SEON in field l., METROPOLEOS from 12:00","Tyche of city seated, l. on throne holding palm branch in r.; to l., river god Kydnos swimming l., wreath border","","","12","26.0","10.87","https://numismatics.org/collectionimages/19001949/1944/1944.100.54532.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54532.rev.width175.jpg","2024-05-13T05:25:05Z"
"http://numismatics.org/collection/1944.100.54533","Silver Tetradrachm of Hadrian, Tarsus, 117–138. 1944.100.54533","1944.100.54533","https://rpc.ashmus.ox.ac.uk/type/11918","117","138","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC III, 3261","","","","PrieurST.761||RPC III, 3261","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVT KAI THE TRA PAR VI THE NER VI TRAI ADRIANOS SE","Head laureate, r.","TARSEON METROPOLEOS","Tyche of city seated, l. on throne holding palm branch in r.; to l., river god Kydnos swimming l.","","","12","24.0","10.22","https://numismatics.org/collectionimages/19001949/1944/1944.100.54533.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54533.rev.width175.jpg","2024-05-13T05:25:06Z"
"http://numismatics.org/collection/1944.100.54534","Silver Tetradrachm of Hadrian, Tarsus, 117–138. 1944.100.54534","1944.100.54534","https://rpc.ashmus.ox.ac.uk/type/11922","117","138","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC III, 3265","","","","PrieurST.764||RPC III, 3265","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVT KAI THE TRA PAR VI THE NER VI TRAI ADRIANOS SE","Bust laureate, r. with drapery on l. shoulder","TARSEON METROPOLEOS","Lion l. atacking bull kneeling l.","","","12","28.0","9.46","https://numismatics.org/collectionimages/19001949/1944/1944.100.54534.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54534.rev.width175.jpg","2024-05-13T05:25:07Z"
"http://numismatics.org/collection/1944.100.54536","Silver Tetradrachm of Hadrian, Tarsus, 117–138. 1944.100.54536","1944.100.54536","https://rpc.ashmus.ox.ac.uk/type/11925","117","138","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Tarsus","","","Cilicia","RPC III, 3268","","","","PrieurST.767||RPC III, 3268","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVT KAI THE TRA PAR VI THE NER VI TRAI ADRIANOS SE","Bust laureate, cuirassed, r.","TARSEON METROPOLEOS","Sandan standing, r. on horned lion r.; he wears on l. side bow-case, sword and quiver, holds bipennis and wreath in l. and raises r.","","","12","26.0","10.18","https://numismatics.org/collectionimages/19001949/1944/1944.100.54536.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.54536.rev.width175.jpg","2024-05-13T05:25:09Z"
"http://numismatics.org/collection/1944.100.55130","Bronze Sestertius of Hadrian, Rome, 121–122. 1944.100.55130","1944.100.55130","http://numismatics.org/ocre/id/ric.2.hdn.611B","121","122","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","Minerva","Hadrian","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC II Hadrian 611B","","","","BMC.1254||RIC II Hadrian 611B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","IMP CAESAR TRAIAN HADRIANVS AVG","Bust of Hadrian, laureate, draped, cuirassed, right","P M TR P COS III S C","Minerva, draped, helmeted, standing left, dropping incense with right hand on a candelabrum left and holding vertical spear in left; against her left side rests a shield, up which climbs a snake","","","6","33.0","27.34","https://numismatics.org/collectionimages/19001949/1944/1944.100.55130.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.55130.rev.width175.jpg","2024-05-13T05:35:50Z"
"http://numismatics.org/collection/1945.120.1","Silver Cistophorus of Hadrian, Ephesus, 128–132. 1945.120.1","1945.120.1","http://numismatics.org/ocre/id/ric.2.hdn.475A","128","132","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","Diana Ephesia","Hadrian","Cistophorus","Roman","Coin","","","","","Struck","Silver","","Ephesus","","","Ionia","RIC II Hadrian 475A","","","","BMC.1091||Metcalf.8.53||RIC II Hadrian 475A","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","HADRIANVS AVG COS III P P","Head of Hadrian, bare, right","DIANA EPHESIA","Cultus-image of Diana Ephesia (no stags) in center of tetrastyle temple seated on podium of three steps","","","6","28.0","10.09","https://numismatics.org/collectionimages/19001949/1945/1945.120.1.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1945/1945.120.1.rev.width175.jpg","2024-05-13T04:13:46Z"
"http://numismatics.org/collection/1945.20.1","Bronze Sestertius of Hadrian, Rome, 125–128. 1945.20.1","1945.20.1","","125","128","Hadrian","","","Roman Empire","Nerva-Antonine Dynasty","","Hadrian","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium","","","","","BMC.1281||ric.2.hdn.631C","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","HADRIANVS AVGVSTVS","Bust of Hadrian, laureate, right","[COS III S C]","Diana, draped, standing right, holding arrow in right hand and bow in left","","","5","32.0","24.83","https://numismatics.org/collectionimages/19001949/1945/1945.20.1.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1945/1945.20.1.rev.width175.jpg","2024-05-13T04:13:54Z"
