"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1977.158.1117","Gold Solidus of Leo III, Constantinople, 717–720. 1977.158.1117","1977.158.1117","","717","720","Leo III","","","","","","","Solidus","Byzantine","Coin","","","","","","Gold","","Constantinople","","","","","","","DOC.1f","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","","","","6","","4.36","https://numismatics.org/collectionimages/19501999/1977/1977.158.1117.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1977/1977.158.1117.rev.width175.jpg","2024-05-14T08:57:59Z"
"http://numismatics.org/collection/1977.158.1118","Gold Solidus of Leo III, Constantinople, 725–732. 1977.158.1118","1977.158.1118","","725","732","Leo III","","","","","","","Solidus","Byzantine","Coin","","","","","","Gold","","Constantinople","","","","","","","DOC.5","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","","","","6","","4.41","https://numismatics.org/collectionimages/19501999/1977/1977.158.1118.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1977/1977.158.1118.rev.width175.jpg","2024-05-14T08:57:59Z"
"http://numismatics.org/collection/1977.158.1119","Gold Tremissis of Leo III, Constantinople, 720–725. 1977.158.1119","1977.158.1119","","720","725","Leo III","","","","","","","Tremissis","Byzantine","Coin","","","","","","Gold","","Constantinople","","","","","","","DOC.16","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","","","","6","","1.36","https://numismatics.org/collectionimages/19501999/1977/1977.158.1119.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1977/1977.158.1119.rev.width175.jpg","2024-05-14T08:58:00Z"
"http://numismatics.org/collection/1977.158.1120","Gold Tremissis of Leo III, Constantinople, 720–725. 1977.158.1120","1977.158.1120","","720","725","Leo III","","","","","","","Tremissis","Byzantine","Coin","","","","","","Gold","","Constantinople","","","","","","","DOC.17","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","","","","6","","1.34","https://numismatics.org/collectionimages/19501999/1977/1977.158.1120.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1977/1977.158.1120.rev.width175.jpg","2024-05-14T08:58:02Z"
"http://numismatics.org/collection/1977.208.4","Bronze Follis of Leo III, Constantinople, 735–741. 1977.208.4","1977.208.4","","735","741","Leo III","","","","","","","Follis","Byzantine","Coin","","","","","","Bronze","","Constantinople","","","","","","","DOC.39a","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","M, above, cross","","","6","","2.95","","","2024-05-14T09:10:41Z"
"http://numismatics.org/collection/1979.136.3","Bronze 1/2 follis of Leo III, Constantinople, 721–725. 1979.136.3","1979.136.3","","721","725","Leo III","","","","","","","1/2 follis","Byzantine","Coin","","","","","","Bronze","","Constantinople","","","","","","","DOC.33","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","bust facing, below K","","","6","","5.8","","","2024-05-14T09:28:43Z"
"http://numismatics.org/collection/1992.45.26","Gold Solidus of Leo III, Constantinople, 725–732. 1992.45.26","1992.45.26","","725","732","Leo III","","","","","","","Solidus","Byzantine","Coin","","","","","Struck","Gold","","Constantinople","","","","","","","DOC.5","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","","","","6","21.0","4.31","https://numismatics.org/collectionimages/19501999/1992/1992.45.26.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1992/1992.45.26.rev.width175.jpg","2024-05-14T04:37:45Z"
"http://numismatics.org/collection/1974.999.16","Bronze Follis of Constantine V, Syracuse, 751–775. 1974.999.16","1974.999.16","","751","775","Constantine V","","","","","","","Follis","Byzantine","Coin","","","","","","Bronze","","Syracuse","","","Sicily","","","","DOC.19c","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","","","bust of Leo III facing","","","6","","2.93","","","2024-05-14T08:39:35Z"
"http://numismatics.org/collection/1983.35.432","Bronze Follis of Leo IV, Constantinople, 776–778. 1983.35.432","1983.35.432","","776","778","Leo IV","","","","","","","Follis","Byzantine","Coin","","","","","Struck","Bronze","","Constantinople","","","","","","","DOC.4","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","Busts of Leo IV and Constantine VI fcg., each wearing crown with cross. Between heads, cross","B - A above; M between X - N; A in ex.","Busts of Leo III and Constantine V; above, cross","","","6","24.5","4.15","","","2024-05-14T10:11:45Z"
"http://numismatics.org/collection/1948.8.87","Bronze Follis of Leo IV, Constantinople, 776–778. 1948.8.87","1948.8.87","","776","778","Leo IV","","","","","","","Follis","Byzantine","Coin","","","","","","Bronze","","Constantinople","","","","","","","DOC.4","L1|Byzantine/a7812c4b-5d59-378f-b557-04a2e11c6298||a7812c4b-5d59-378f-b557-04a2e11c6298|Isaurian/aa13167b-bcfd-3fd3-81a9-66052ed0f306","","","","","","","","Busts of Leo IV and Constantine VI fcg., each wearing crown with cross. Between heads, cross","B - A above; M between X - N; A in ex.","Busts of Leo III and Constantine V; above, cross","","","6","","5.86","","","2024-05-13T05:32:25Z"
