"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/0000.999.32528","Bronze Medallion of Marcus Aurelius, 161–180. 0000.999.32528","0000.999.32528","","161","180","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius","","Roman","Medallion","","","","","Struck","Bronze","","","","","","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","","","M ANTONINVS AVG TR P XXVIII","Head laur. r.","IMP VI COS III VICT GERM","Emperor riding chariot l.","","","12","36.0","37.09","https://numismatics.org/collectionimages/00001899/0000/0000.999.32528.obv.width175.jpg","https://numismatics.org/collectionimages/00001899/0000/0000.999.32528.rev.width175.jpg","2024-05-15T11:05:56Z"
"http://numismatics.org/collection/0000.999.32529","Bronze Medallion of Marcus Aurelius, 161–180. 0000.999.32529","0000.999.32529","","161","180","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius","","Roman","Medallion","","","","","Struck","Bronze","","","","","","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","","","M ANTONINVS AVG TR P XXIX","Head laur. r.","IMP VII COS III","Victory sitting r. w/ trophy","","","12","35.0","28.84","https://numismatics.org/collectionimages/00001899/0000/0000.999.32529.obv.width175.jpg","https://numismatics.org/collectionimages/00001899/0000/0000.999.32529.rev.width175.jpg","2024-05-15T11:05:56Z"
"http://numismatics.org/collection/0000.999.32531","Bronze Medallion of Marcus Aurelius, 161–180. 0000.999.32531","0000.999.32531","","161","180","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius","","Roman","Medallion","","","","","Struck","Bronze","","","","","","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","","","...VIC AVG...","Head laur. r.","","Naval arrival scene","","","7","39.0","44.86","https://numismatics.org/collectionimages/00001899/0000/0000.999.32531.obv.width175.jpg","https://numismatics.org/collectionimages/00001899/0000/0000.999.32531.rev.width175.jpg","2024-05-15T11:05:58Z"
"http://numismatics.org/collection/0000.999.32532","Bronze Medallion of Marcus Aurelius, 161–180. 0000.999.32532","0000.999.32532","","161","180","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius","","Roman","Medallion","","","","","Struck","Bronze","","","","","","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","","","?","Head laur. r.","VOTA PVBLICA","Three standing figures","","","12","29.0","22.54","https://numismatics.org/collectionimages/00001899/0000/0000.999.32532.obv.width175.jpg","https://numismatics.org/collectionimages/00001899/0000/0000.999.32532.rev.width175.jpg","2024-05-15T11:05:59Z"
"http://numismatics.org/collection/0000.999.32533","Bronze Medallion of Marcus Aurelius, 161–180. 0000.999.32533","0000.999.32533","","161","180","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius","","Roman","Medallion","","","","","Struck","Bronze","","","","","","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","","","?","Head laur. r.","VOTA PVBLICA","Temple scene","","","11","37.0","44.23","https://numismatics.org/collectionimages/00001899/0000/0000.999.32533.obv.width175.jpg","https://numismatics.org/collectionimages/00001899/0000/0000.999.32533.rev.width175.jpg","2024-05-15T11:05:59Z"
"http://numismatics.org/collection/1944.100.49134","Silver Denarius of Marcus Aurelius, Rome, 170–171. 1944.100.49134","1944.100.49134","http://numismatics.org/ocre/id/ric.3.m_aur.239","170","171","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","Victory","Marcus Aurelius","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 239","","","","BMC.543v||RIC III Marcus Aurelius 239","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","M ANTONINVS AVG TR P XXV","Head of Marcus Aurelius, laureate, right","IMP VI COS III","Victory, winged, draped, seated left on low seat, holding trophy In extended right hand and palm, sloped up by left shoulder, in left","","","6","18.0","2.96","https://numismatics.org/collectionimages/19001949/1944/1944.100.49134.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49134.rev.width175.jpg","2024-05-13T04:05:05Z"
"http://numismatics.org/collection/1944.100.49145","Silver Denarius of Marcus Aurelius, Rome, 180. 1944.100.49145","1944.100.49145","","180","180","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius","Denarius","Roman","Coin","","","","","","Silver","","Rome","","","Latium","","","","","BMC.22not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","Imitation","","DIVVS M ANTONINVS PIVS","Head right","CONSECRATIO","Eagle standing, on globe right, head reverted","","","3","18.0","3.0","https://numismatics.org/collectionimages/19001949/1944/1944.100.49145.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49145.rev.width175.jpg","2024-05-13T04:05:17Z"
"http://numismatics.org/collection/1944.100.49146","Bronze Sestertius of Marcus Aurelius, Rome, 161. 1944.100.49146","1944.100.49146","http://numismatics.org/ocre/id/ric.3.m_aur.795","161","161","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius||Lucius Verus","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 795","","","","BMC.847||RIC III Marcus Aurelius 795","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","IMP CAES M AVREL ANTONINVS AVG P M","Head right","CONCORD AVGVSTOR TR P XV COS III","Marcus Aurelius and Lucius Verus standing, clasping hands","","","12","33.0","23.28","https://numismatics.org/collectionimages/19001949/1944/1944.100.49146.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49146.rev.width175.jpg","2024-05-13T04:05:18Z"
"http://numismatics.org/collection/1944.100.49147","Bronze Dupondius of Marcus Aurelius, Rome, 161. 1944.100.49147","1944.100.49147","http://numismatics.org/ocre/id/ric.3.m_aur.798","161","161","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius||Lucius Verus","Dupondius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 798","","","","BMC.852||RIC III Marcus Aurelius 798","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","IMP CAES M AVREL ANTONINVS AVG P M","Head radiate, right","CONCORD AVGVSTOR TR P XV COS III","Marcus Aurelius and Lucius Verus standing, clasping hands","","","12","25.0","11.15","https://numismatics.org/collectionimages/19001949/1944/1944.100.49147.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49147.rev.width175.jpg","2024-05-13T04:05:19Z"
"http://numismatics.org/collection/1944.100.49148","Bronze Sestertius of Marcus Aurelius, Rome, 161–162. 1944.100.49148","1944.100.49148","http://numismatics.org/ocre/id/ric.3.m_aur.826","161","162","Marcus Aurelius","","","Roman Empire","Nerva-Antonine Dynasty","","Marcus Aurelius||Lucius Verus","Sestertius","Roman","Coin","","","","","Struck","Bronze","","Rome","","","Latium||Italy","RIC III Marcus Aurelius 826","","","","BMC.1009v||RIC III Marcus Aurelius 826","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Antonines/5c011cd3-89b8-35c1-96b5-4e1587fc2605","","","","","","","IMP CAES M AVREL ANTONINVS AVG P M","Bust, laureate, cuirassed, right","CONCORD AVGVSTOR TR P XVI COS III","Marcus Aurelius and Lucius Verus standing, clasping hands","","","12","33.0","25.99","https://numismatics.org/collectionimages/19001949/1944/1944.100.49148.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.49148.rev.width175.jpg","2024-05-13T04:05:20Z"
