"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.78382","Bronze Leaded AE of Roman Republic, Arausio, 30 BCE–29 BCE. 1944.100.78382","1944.100.78382","https://rpc.ashmus.ox.ac.uk/type/28909","-30","-29","","","","Roman Republic||Roman Empire","Julio-Claudian Dynasty","","Agrippa||Octavian","Leaded AE","Roman","Coin","","","","","Struck","Bronze","","Arausio","","","Gallia","RPC I, 533","","","","RPC I, 533||RPC.1.533","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a","","","","","","","IMP / DIVI F","Bare heads of Agrippa l. and Octavian r.","","Prow r. with superstructure; above, medallion enclosing ram's head (?)","","","4","29.5","17.63","https://numismatics.org/collectionimages/19001949/1944/1944.100.78382.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.78382.rev.width175.jpg","2024-05-13T12:34:39Z"
"http://numismatics.org/collection/1944.100.4531","Silver Denarius of Roman Republic, Uncertain value, 42 BCE. 1944.100.4531","1944.100.4531","http://numismatics.org/crro/id/rrc-495.2a","-42","-42","","","M. Aemilius Lepidus","Roman Republic","","","M. Aemilius Lepidus||Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","Italy","RRC 495/2a","","","","RRC 495/2a||S.1323","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","LEPIDVS.PONT.MAX.III.V.R.P.C.","M. Lepidus head r.","CAESAR.IMP.III.VIR.R.P.C.","Octavian head r.","","","9","","3.777","https://numismatics.org/collectionimages/19001949/1944/1944.100.4531.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.4531.rev.width175.jpg","2024-05-23T01:03:39Z"
"http://numismatics.org/collection/1944.100.4566","Silver Denarius of Roman Republic, Uncertain value, 41 BCE. 1944.100.4566","1944.100.4566","http://numismatics.org/crro/id/rrc-517.2","-41","-41","","","Mark Antony||M. Barbatius Pollio","Roman Republic","","","Mark Antony||Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 517/2","","","","RRC 517/2||S.1181","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","M.ANT.IMP.AVG.III.VIR.R.P.C.M.BARBAT.Q.P","Head of M. Antonius r.","CAESAR.IMP.PONT.III.VIR.R.P.C","Head of Octavian r., bearded","","","12","","3.93","https://numismatics.org/collectionimages/19001949/1944/1944.100.4566.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.4566.rev.width175.jpg","2024-05-23T01:07:36Z"
"http://numismatics.org/collection/1944.100.4790","Silver Denarius of Roman Republic, Uncertain value, 41 BCE. 1944.100.4790","1944.100.4790","http://numismatics.org/crro/id/rrc-518.2","-41","-41","","","Octavian","Roman Republic","Julio-Claudian Dynasty","","Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 518/2","","","","RRC 518/2||S.1317","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","C.CAESAR.III.VIR.R.P.C","Octavian head r.","POPVL.IVSSV","Equestrian statue galloping l.","","","11","","3.88","https://numismatics.org/collectionimages/19001949/1944/1944.100.4790.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.4790.rev.width175.jpg","2024-05-23T01:10:06Z"
"http://numismatics.org/collection/1944.100.4818","Silver Denarius of Roman Republic, Uncertain value, 40 BCE. 1944.100.4818","1944.100.4818","http://numismatics.org/crro/id/rrc-523.1a","-40","-40","","","Octavian||Q. Salvidienus Rufus","Roman Republic","Julio-Claudian Dynasty","","Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 523/1a","","","","RRC 523/1a||S.1326b","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","C.CAESAR.III.VIR.R.P.C","Octavian head r., bearded","Q.SALVIVS.IMP.COS.DESIG","Thunderbolt","","","8","","3.71","https://numismatics.org/collectionimages/19001949/1944/1944.100.4818.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.4818.rev.width175.jpg","2024-05-23T01:11:16Z"
"http://numismatics.org/collection/1944.100.4819","Silver Denarius of Roman Republic, Uncertain value, 40 BCE. 1944.100.4819","1944.100.4819","http://numismatics.org/crro/id/rrc-523.1b","-40","-40","","","Octavian||Q. Salvidienus Rufus","Roman Republic","Julio-Claudian Dynasty","","Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 523/1b","","","","RRC 523/1b||S.1326","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","C.CAESAR.III.VIR.R.P.C","Octavian head r., bearded","Q.SALVIVS.IMP.COS.DESG","Thunderbolt","","","6","","3.68","https://numismatics.org/collectionimages/19001949/1944/1944.100.4819.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.4819.rev.width175.jpg","2024-05-23T01:11:23Z"
"http://numismatics.org/collection/1944.100.4821","Silver Denarius of Roman Republic, Rome, 40 BCE. 1944.100.4821","1944.100.4821","http://numismatics.org/crro/id/rrc-525.2","-40","-40","","","Ti. Sempronius Gracchus","Roman Republic","","","Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium","RRC 525/2","","","","RRC 525/2||S.1127","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","DIVI IVLI.F","Octavian head r., bearded","TI.SEMPRON|GRACCVS|III.VIR.|Q.DESIG","Vexillum|aquila|plough|decempeda","","","9","","3.9","https://numismatics.org/collectionimages/19001949/1944/1944.100.4821.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.4821.rev.width175.jpg","2024-05-23T01:11:43Z"
"http://numismatics.org/collection/1944.100.5934","Silver Denarius of Roman Republic, Uncertain value, 39 BCE. 1944.100.5934","1944.100.5934","http://numismatics.org/crro/id/rrc-528.2a","-39","-39","","","Mark Antony","Roman Republic","","","Mark Antony||Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 528/2a","","","","RRC 528/2a||S.1193","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","M.ANTON.IMP.III.VIR.R.P.C","M. Antonius head r.|star","CAESAR.IMP.III.VIR.R.P.C.","Octavian head r., bearded|pellet","","","2","","3.96","https://numismatics.org/collectionimages/19001949/1944/1944.100.5934.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.5934.rev.width175.jpg","2024-05-23T01:26:48Z"
"http://numismatics.org/collection/1944.100.5935","Silver Denarius of Roman Republic, Uncertain value, 39 BCE. 1944.100.5935","1944.100.5935","http://numismatics.org/crro/id/rrc-528.2a","-39","-39","","","Mark Antony","Roman Republic","","","Mark Antony||Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 528/2a","","","","RRC 528/2a||S.1193","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","M.ANTON.IMP.III.VIR.R.P.C","M. Antonius head r.|star","CAESAR.IMP.III.VIR.R.P.C.","Octavian head r., bearded|pellet","","","6","","3.86","https://numismatics.org/collectionimages/19001949/1944/1944.100.5935.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.5935.rev.width175.jpg","2024-05-23T01:26:55Z"
"http://numismatics.org/collection/1944.100.5936","Silver Denarius of Roman Republic, Uncertain value, 39 BCE. 1944.100.5936","1944.100.5936","http://numismatics.org/crro/id/rrc-528.3","-39","-39","","","Mark Antony","Roman Republic","","","Mark Antony||Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 528/3","","","","RRC 528/3||S.1194","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","M.ANTON.IMP.III.VIR.R.P.C.AVG","M. Antonius head r.","CAESAR.IMP.PONT.III.VIR.R.P.C.","Octavian head r.","","","6","","3.61","https://numismatics.org/collectionimages/19001949/1944/1944.100.5936.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.5936.rev.width175.jpg","2024-05-23T01:27:02Z"
"http://numismatics.org/collection/1944.100.5938","Gold Aureus of Roman Republic, Uncertain value, 39 BCE. 1944.100.5938","1944.100.5938","http://numismatics.org/crro/id/rrc-529.1","-39","-39","","","Mark Antony||Octavian","Roman Republic","Julio-Claudian Dynasty","","Octavian||Mark Antony","Aureus","Roman","Coin","","","","","Struck","Gold","","Uncertain||Uncertain value","","","","RRC 529/1","","","","RRC 529/1||S.1327","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25||26483061-1a0f-346b-99ba-828d64ddff25|Imperatorial Gold/69bb4ae0-3ee3-394f-9f5e-5ce7c2629c9d","","","","","","","CAESAR IMP","Octavian head r., bearded","ANTONIVS IMP","M. Antonius head r.","","","6","","7.92","https://numismatics.org/collectionimages/19001949/1944/1944.100.5938.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.5938.rev.width175.jpg","2024-05-23T01:27:17Z"
"http://numismatics.org/collection/1944.100.5942","Silver Denarius of Roman Republic, Uncertain value, 39 BCE. 1944.100.5942","1944.100.5942","http://numismatics.org/crro/id/rrc-529.2c","-39","-39","","","Mark Antony||Octavian","Roman Republic","Julio-Claudian Dynasty","","Octavian","Denarius","Roman","Coin","","","","","Struck","Silver","","Uncertain||Uncertain value","","","","RRC 529/2c","","","","RRC 529/2c||S.1327a","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Republican/26483061-1a0f-346b-99ba-828d64ddff25","","","","","","","CAESAR IMP","Octavian head r., bearded","ANTONIVS IMP","Caduceus","","","10","","3.82","https://numismatics.org/collectionimages/19001949/1944/1944.100.5942.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.5942.rev.width175.jpg","2024-05-23T01:27:32Z"
