"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.19986","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19986","1944.100.19986","http://numismatics.org/ocre/id/ric.4.tr_d.95","250","251","Trajan Decius","","","Roman Empire","Severan Dynasty","","Septimius Severus","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 95","","","","RIC IV Trajan Decius 95","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO SEVERO","Head of Divus Septimius Severus, radiate, right","CONSECRATIO","Eagle, with open wings, standing front on bar, head right","","","12","24.5","4.239","https://numismatics.org/collectionimages/19001949/1944/1944.100.19986.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19986.rev.width175.jpg","2024-05-12T03:33:54Z"
"http://numismatics.org/collection/1934.74.14","Silver Denarius of Septimius Severus, Rome, 210. 1934.74.14","1934.74.14","http://numismatics.org/ocre/id/ric.4.ss.233","210","210","Septimius Severus","","","Roman Empire","Severan Dynasty","Jupiter","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Septimius Severus 233","","","","BMC.18||RIC IV Septimius Severus 233","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERVS PIVS AVG","Head laureate, right","P M TR P XVIII COS III P P","Jupiter standing, front, holding thunderbolt and sceptre, two small figures flanking","","","6","18.7","3.34","https://numismatics.org/collectionimages/19001949/1934/1934.74.14.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1934/1934.74.14.rev.width175.jpg","2024-05-11T11:55:35Z"
"http://numismatics.org/collection/1944.100.50077","Gold Aureus of Septimius Severus, Rome, 202. 1944.100.50077","1944.100.50077","http://numismatics.org/ocre/id/ric.4.ss.178AB","202","202","Septimius Severus","","","Roman Empire","Severan Dynasty","","Septimius Severus||Caracalla||Geta","Aureus","Roman","Coin","","","","","Struck","Gold","","Rome","","","Latium||Italy","RIC IV Septimius Severus 178AB","","","","BMC.38+||RIC IV Septimius Severus 178AB","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVER P AVG P M TR P X COS III","Bust laureate, draped cuirassed right","AETERNIT IMPERI","Caracalla and Geta busts confronted","","","12","20.6","7.15","https://numismatics.org/collectionimages/19001949/1944/1944.100.50077.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50077.rev.width175.jpg","2024-05-13T04:20:36Z"
"http://numismatics.org/collection/1944.100.50078","Gold Aureus of Septimius Severus, Rome, 202. 1944.100.50078","1944.100.50078","http://numismatics.org/ocre/id/ric.4.ss.181B","202","202","Septimius Severus","","","Roman Empire","Severan Dynasty","","Septimius Severus||Julia Domna||Caracalla||Geta","Aureus","Roman","Coin","","","","","Struck","Gold","","Rome","","","Latium||Italy","RIC IV Septimius Severus 181B","","","","BMC.379||RIC IV Septimius Severus 181B","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERVS PIVS AVG P M TR P X","Bust laureate, dr. cuir. r.","FELICITAS SACVLI","Julia Domna bust facing between those of Caracalla and Geta","","","","","7.24","https://numismatics.org/collectionimages/19001949/1944/1944.100.50078.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50078.rev.width175.jpg","2024-05-13T04:20:38Z"
"http://numismatics.org/collection/1944.100.50079","Silver Denarius of Septimius Severus, Rome, 202. 1944.100.50079","1944.100.50079","http://numismatics.org/ocre/id/ric.4.ss.182","202","202","Septimius Severus","","","Roman Empire","Severan Dynasty","Liberalitas","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Septimius Severus 182","Reka Devnia Hoard, Bulgaria, 1929","","","BMC.381||RIC IV Septimius Severus 182","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERVS PIV[S] AVG","Head laureate, right","LIB AVG III P M TR P X COS III P P","Liberalitas standing, front, holding abacus and cornucopiae","","","6","19.5","3.41","https://numismatics.org/collectionimages/19001949/1944/1944.100.50079.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50079.rev.width175.jpg","2024-05-13T04:20:39Z"
"http://numismatics.org/collection/1944.100.50080","Silver Denarius of Septimius Severus, Rome, 202. 1944.100.50080","1944.100.50080","http://numismatics.org/ocre/id/ric.4.ss.184","202","202","Septimius Severus","","","Roman Empire","Severan Dynasty","","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Septimius Severus 184","","","","BMC.383||RIC IV Septimius Severus 184","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERUS PIVS AVG","Head laureate, right","PART MAX P M TR P X","Trophy between two captives","","","2","17.5","3.55","https://numismatics.org/collectionimages/19001949/1944/1944.100.50080.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50080.rev.width175.jpg","2024-05-13T04:20:41Z"
"http://numismatics.org/collection/1944.100.50081","Silver Denarius of Septimius Severus, Rome, 202. 1944.100.50081","1944.100.50081","http://numismatics.org/ocre/id/ric.4.ss.185","202","202","Septimius Severus","","","Roman Empire","Severan Dynasty","","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Septimius Severus 185","","","","BMC.385||RIC IV Septimius Severus 185","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERUS PIVS AVG","Head laureate, right","PART MAX P M TR P X COS III PP","Trophy between two captives","","","6","19.0","3.34","https://numismatics.org/collectionimages/19001949/1944/1944.100.50081.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50081.rev.width175.jpg","2024-05-13T04:20:42Z"
"http://numismatics.org/collection/1944.100.50082","Silver Denarius of Septimius Severus, Emisa, 202. 1944.100.50082","1944.100.50082","http://numismatics.org/ocre/id/ric.4.ss.413","202","202","Septimius Severus","","","Roman Empire","Severan Dynasty","","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Emisa","","","Seleucis and Pieria||Syria","RIC IV Septimius Severus 413","","","","BMC.387||RIC IV Septimius Severus 413","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","IMP CAE L SEP [SEV] PERT AVG COS II","Head laureate, right","PIETAT AVG","Septimius standing, sacrificing left out of patera over lighted tripod altar","","","1","17.1","3.4","https://numismatics.org/collectionimages/19001949/1944/1944.100.50082.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50082.rev.width175.jpg","2024-05-13T04:20:43Z"
"http://numismatics.org/collection/1944.100.50083","Silver Denarius of Septimius Severus, Rome, 203. 1944.100.50083","1944.100.50083","http://numismatics.org/ocre/id/ric.4.ss.189B_denarius","203","203","Septimius Severus","","","Roman Empire","Severan Dynasty","Fortuna","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Septimius Severus 189B (denarius)","Reka Devnia Hoard, Bulgaria, 1929","","","BMC.432||RIC IV Septimius Severus 189B (denarius)","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERVS PIVS AVG","Head laureate, right","P M TR P XI COS III P P","Fortuna seated, left holding rudder set on globe and cornucopiae, wheel under seat","","","7","18.2","3.24","https://numismatics.org/collectionimages/19001949/1944/1944.100.50083.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50083.rev.width175.jpg","2024-05-13T04:20:44Z"
"http://numismatics.org/collection/1944.100.50084","Silver Denarius of Septimius Severus, Rome, 204. 1944.100.50084","1944.100.50084","http://numismatics.org/ocre/id/ric.4.ss.195","204","204","Septimius Severus","","","Roman Empire","Severan Dynasty","Genius","Septimius Severus","Denarius","Roman","Coin","","","","","Struck","Silver","","Rome","","","Latium||Italy","RIC IV Septimius Severus 195","","","","BMC.467||RIC IV Septimius Severus 195","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Severans/1c24dad4-3d2d-3299-b677-7051f6f73e2d","","","","","","","SEVERVS PIVS AVG","Head laureate, right","P M TR P XII COS [I]II P P","Genius standing, front, sacrificing out of patera over garlanded and lighted altar left, and holding grain stalks","","","6","18.7","3.34","https://numismatics.org/collectionimages/19001949/1944/1944.100.50084.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.50084.rev.width175.jpg","2024-05-13T04:20:46Z"
