"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.53385","Bronze As of Augustus, Lugdunum, 8–10. 1944.100.53385","1944.100.53385","","8","10","Augustus","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","As","Roman","Coin","","","","","Struck","Bronze","","Lugdunum","","","Gallia","","","","","ric.1(2).aug.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","TI CAESAR AVGVST F IMPERAT[...]","head of Tiberius, laureate, right","ROM ET [AVG]","Altar highly decorated with corona civica, laurels, and nude male figures; Victories flanking","","","12","28.0","7.07","https://numismatics.org/collectionimages/19001949/1944/1944.100.53385.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.53385.rev.width175.jpg","2024-05-13T05:06:49Z"
"http://numismatics.org/collection/1944.100.39270","Bronze Coin of Tiberius. 1944.100.39270","1944.100.39270","","","","Tiberius","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","","Roman","Coin","","","","","","Bronze","","","","","","","","","","BMC.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Pending/d42870a4-4828-3000-ae77-e9540a3ee9c0","","","","","Counterfeit","","","Head laur. r.","ROM ET AVG","Altar, Victories flanking","","","5","16.0","5.26","https://numismatics.org/collectionimages/19001949/1944/1944.100.39270.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.39270.rev.width175.jpg","2024-05-13T01:46:11Z"
"http://numismatics.org/collection/1944.100.39271","Bronze Coin of Tiberius. 1944.100.39271","1944.100.39271","","","","Tiberius","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","","Roman","Coin","","","","","","Bronze","","","","","","","","","","BMC.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Pending/d42870a4-4828-3000-ae77-e9540a3ee9c0","","","","","Counterfeit","","","Head laur. r.","ROM ET AVG","Altar, Victories flanking","","","10","24.0","4.92","https://numismatics.org/collectionimages/19001949/1944/1944.100.39271.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.39271.rev.width175.jpg","2024-05-13T01:46:12Z"
"http://numismatics.org/collection/1944.100.39304","Bronze As of Tiberius, Rome, 36–37. 1944.100.39304","1944.100.39304","","36","37","Tiberius","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","As","Roman","Coin","","","","","","Bronze","","Rome","","","Latium","","","","","BMC.135v.||ric.1(2).tib.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","TI CAESAR DIVI AVG F AVGVST IMP VIII","Head of Tiberius, laureate, r.","","","","","12","26.0","10.69","https://numismatics.org/collectionimages/19001949/1944/1944.100.39304.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.39304.rev.width175.jpg","2024-05-13T01:46:52Z"
"http://numismatics.org/collection/1908.254.2","Bronze As of Tiberius, Italica, 14–37. 1908.254.2","1908.254.2","https://rpc.ashmus.ox.ac.uk/type/16274","14","37","Tiberius","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","As","Roman","Coin","","","","","Struck","Bronze","","Italica","","","Hispania||Baetica","RPC I, 65","","","","Heiss.8||RPC I, 65||RPC.65","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|Spain/c46c418d-eb3c-36ee-bad5-03c3b257631d","","","","","","","TI CAESAR AVGVSTVS PONT MAX IMP","Head bare r.","MVNIC ITALIC PERM DIVI AVG","Altar inscribed on three lines: PROVIDE - NTIAE - AVGVSTI","","","12","29.0","15.7","https://numismatics.org/collectionimages/19001949/1908/1908.254.2.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1908/1908.254.2.rev.width175.jpg","2024-05-15T11:55:55Z"
"http://numismatics.org/collection/1955.59.26","Bronze Tessera of Tiberius, Uncertain value, 14–37. 1955.59.26","1955.59.26","","14","37","Tiberius","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","","Roman","Tessera","","","","","Struck","Bronze","","Uncertain","","","","","","","","Cohen.-","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","","Livia (?) bust wreathed r.","VII","Legend in border of dots within wreath","","","1","20.0","5.49","https://numismatics.org/collectionimages/19501999/1955/1955.59.26.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1955/1955.59.26.rev.width175.jpg","2024-05-16T08:17:20Z"
"http://numismatics.org/collection/1953.171.1048","Bronze As of Augustus, Lugdunum, 9–14. 1953.171.1048","1953.171.1048","","9","14","Augustus","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","As","Roman","Coin","","","","","Struck","Bronze","","Lugdunum","","","Gallia","","","","","ric.1(2).aug.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","[TI CAESAR] AVGVST F IMPERA[...]","head laureate right","ROME T AVG","Altar highly decorated with corona civica, laurels, and nude male figures; Victories flanking","","","6","25.0","6.98","https://numismatics.org/collectionimages/19501999/1953/1953.171.1048.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1048.rev.width175.jpg","2024-05-13T06:24:36Z"
"http://numismatics.org/collection/1953.171.1051","Bronze As of Augustus, Lugdunum, 8–14. 1953.171.1051","1953.171.1051","","8","14","Augustus","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","As","Roman","Coin","","","","","Struck","Bronze","","Lugdunum","","","Gallia","","","","","ric.1(2).aug.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","TI CAESAR AVGVST F IMPERA[...]","Head of Tiberius, laureate, right","ROM ET AVG","Altar highly decorated with corona civica, laurels, and nude male figures; Victories flanking","","","5","27.0","11.13","https://numismatics.org/collectionimages/19501999/1953/1953.171.1051.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1051.rev.width175.jpg","2024-05-13T06:24:40Z"
"http://numismatics.org/collection/1953.171.1053","Bronze As of Augustus, Lugdunum, 8–14. 1953.171.1053","1953.171.1053","","8","14","Augustus","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","As","Roman","Coin","","","","","Struck","Bronze","","Lugdunum","","","Gallia","","","","","ric.1(2).aug.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","[TI CAESAR AVG]VST F IMPERAT [...]","head of Tiberius, laureate, right","ROM ET [AVG]","Altar highly decorated with corona civica, laurels, and nude male figures; Victories flanking","","","5","25.0","10.37","https://numismatics.org/collectionimages/19501999/1953/1953.171.1053.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1053.rev.width175.jpg","2024-05-13T06:24:43Z"
"http://numismatics.org/collection/1953.171.1058","Bronze Semis of Augustus, Lugdunum, 9–14. 1953.171.1058","1953.171.1058","","9","14","Augustus","","","Roman Empire","Julio-Claudian Dynasty","","Tiberius","Semis","Roman","Coin","","","","","Struck","Bronze","","Lugdunum","","","Gallia","","","","","ric.1(2).aug.","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Julioclaudians/1843e6b0-5c1c-356b-a701-25b5cc78ed0b","","","","","","","[...] IMPERAT [...]","head laureate right","[ROM ET AVG]","Altar highly decorated with corona civica, laurels, and nude male figures; Victories flanking","","","7","23.0","4.85","https://numismatics.org/collectionimages/19501999/1953/1953.171.1058.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1953/1953.171.1058.rev.width175.jpg","2024-05-13T06:24:49Z"
