"URI","Заголовок","RecordId","Монетный тип URI","От даты","К дате","Правитель","Stated Authority","Эмитент","Состояние","Династия","Божество","Портрет","Номинал","Отделение","Тип предмета","Artist","Engraver","Maker","Signature","Производство","Материал","Форма","Place of Production","Place of Issue","Place of Cataloging Relevance","Регион","Монетный тип","Hoard","Место находки","Excavation","Ссылка","Category","Subject: Event","Subject: Issuer","Subject: Person","Subject: Place","Authenticity","Secondary Treatment","Легенда аверса","Тип аверса","Легенда реверса","Тип реверса","Дата на объекте","Hijra","Оси","Диаметр","Вес","Thumbnail_obv","Thumbnail_rev","Дата обновления"
"http://numismatics.org/collection/1944.100.19976","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1944.100.19976","1944.100.19976","http://numismatics.org/ocre/id/ric.4.tr_d.79","250","251","Trajan Decius","","","Roman Empire","Flavian Dynasty","","Vespasian","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 79","","","","RIC IV Trajan Decius 79","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO VESPASIANO","Head of Divus Vespasian, radiate, right","CONSECRATIO","Eagle, with open wings, standing front on bar, head right","","","6","21.0","5.055","https://numismatics.org/collectionimages/19001949/1944/1944.100.19976.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.19976.rev.width175.jpg","2024-05-12T03:33:44Z"
"http://numismatics.org/collection/1947.125.3","Bronze Sestertius of Vespasian, 69–79. 1947.125.3","1947.125.3","","69","79","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Sestertius","Roman","Coin","","","","","Cast","Bronze","","","","","","","","","","","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Modern/a48923a8-9322-3bd0-b530-a3b6563d20eb||a48923a8-9322-3bd0-b530-a3b6563d20eb|Copy/31924f54-4830-312d-aae8-2d774cbc0133","","","","","Forgery","","?","Head laur. r.","IVDAEA CAPTA","Two figures under palm tree","","","","","","https://numismatics.org/collectionimages/19001949/1947/1947.125.3.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1947/1947.125.3.rev.width175.jpg","2024-05-13T04:20:51Z"
"http://numismatics.org/collection/1952.142.301","Silver Tetradrachm of Vespasian, Uncertain value, 75–76. 1952.142.301","1952.142.301","https://rpc.ashmus.ox.ac.uk/type/7947","75","76","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Tetradrachm","Roman","Coin","","","","","","Silver","","Uncertain","","","Cyprus","RPC II, 1801","","","","RPC II, 1801","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVTOKRATOP OVESPASIANOS KAISAR","Head laur. l.","ETOVS NEOV IEROV 8","Zeus Salaminios stg. l. holding phiale in r. and sceptre in l.","","","12","24.5","12.466","https://numismatics.org/collectionimages/19501999/1952/1952.142.301.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1952/1952.142.301.rev.width175.jpg","2024-05-13T06:14:54Z"
"http://numismatics.org/collection/1952.142.302","Silver Tetradrachm of Vespasian, Uncertain value, 75–76. 1952.142.302","1952.142.302","https://rpc.ashmus.ox.ac.uk/type/7947","75","76","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Tetradrachm","Roman","Coin","","","","","","Silver","","Uncertain","","","Cyprus","RPC II, 1801","","","","RPC II, 1801","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVTOKRATOP OVESPASIANOS KAISAR","Head laur. l.","ETOVS NEOV IEROV 8","Zeus Salaminios stg. l. holding phiale in r. and sceptre in l.","","","12","24.0","12.8","https://numismatics.org/collectionimages/19501999/1952/1952.142.302.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1952/1952.142.302.rev.width175.jpg","2024-05-13T06:14:55Z"
"http://numismatics.org/collection/1952.142.303","Silver Tetradrachm of Vespasian, Uncertain value, 76–77. 1952.142.303","1952.142.303","https://rpc.ashmus.ox.ac.uk/type/7950","76","77","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Tetradrachm","Roman","Coin","","","","","","Silver","","Uncertain","","","Cyprus","RPC II, 1804","","","","RPC II, 1804","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVTOKRATOP OVESPASIANOS KAISAR","Head laur. l.","ETOVS NEOV IEROV 9","Zeus Salaminios stg. l. holding phiale in r. and sceptre in l.","","","12","25.0","11.927","https://numismatics.org/collectionimages/19501999/1952/1952.142.303.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1952/1952.142.303.rev.width175.jpg","2024-05-13T06:14:56Z"
"http://numismatics.org/collection/1944.100.39965","Gold Aureus of Vespasian, Antioch, Syria, 69–78. 1944.100.39965","1944.100.39965","https://rpc.ashmus.ox.ac.uk/type/8007","69","78","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Aureus","Roman","Coin","","","","","Struck","Gold","","Antioch, Syria","","","Seleucis and Pieria","RPC II, 1926","","","","BMC.not||RPC II, 1926||ric.2_1(2).ves.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Flavians/6a6fd475-842b-306b-8658-6c60810a2c5a","","","","","","","IMP VESPASIANVS [ ] TRI P P P COS IIII","Head of Vespasian, laureate, left","VIRTVS AVGVSTI","Virtus, helmeted, in miliary dress, standing right, resting foot on prow, holding long verical spear in right hand and parazonium in left","","","12","17.5","7.45","https://numismatics.org/collectionimages/19001949/1944/1944.100.39965.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.39965.rev.width175.jpg","2024-05-13T01:58:07Z"
"http://numismatics.org/collection/1944.100.39967","Gold Aureus of Vespasian, Uncertain value, 69–79. 1944.100.39967","1944.100.39967","https://rpc.ashmus.ox.ac.uk/type/7985","69","79","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Aureus","Roman","Coin","","","","","Struck","Gold","","Uncertain","","","Italy","RPC II, 1904","","","","BMC.not||RPC II, 1904||ric.2_1(2).ves.not","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Flavians/6a6fd475-842b-306b-8658-6c60810a2c5a","","","","","","","IMP CAESAR VESPASIANVS AVG","Bust of Vespasian, laureate, right","COSITER [?] ROT","Female figure, draped, standing left, holding grain stalk in right hand and uncertain object in left","","","6","17.5","7.81","https://numismatics.org/collectionimages/19001949/1944/1944.100.39967.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.39967.rev.width175.jpg","2024-05-13T01:58:09Z"
"http://numismatics.org/collection/1935.117.216","Silver Antoninianus of Trajan Decius, Mediolanum, 250–251. 1935.117.216","1935.117.216","http://numismatics.org/ocre/id/ric.4.tr_d.80","250","251","Trajan Decius","","","Roman Empire","Flavian Dynasty","","Vespasian","Antoninianus","Roman","Coin","","","","","Struck","Silver","","Mediolanum","","","Italy","RIC IV Trajan Decius 80","","","","RIC IV Trajan Decius 80","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Imperial/5c25a387-f992-3cd0-ae33-4bf1f6b38255||5c25a387-f992-3cd0-ae33-4bf1f6b38255|Thirdcentury/0661a87e-c8e0-3e4b-9410-22424edaa49b","","","","","","","DIVO VESPASIANO","Head of Divus Vespasian, radiate, right","CON[S]ECRATIO","Rectangular altar, with four panels in front, lighted","","","12","22.0","3.3","https://numismatics.org/collectionimages/19001949/1935/1935.117.216.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1935/1935.117.216.rev.width175.jpg","2024-05-12T12:01:31Z"
"http://numismatics.org/collection/1911.32.21","Silver Tetradrachm of Vespasian, Antioch, Syria, 69–70. 1911.32.21","1911.32.21","https://rpc.ashmus.ox.ac.uk/type/8468","69","70","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Tetradrachm","Roman","Coin","","","","","Struck","Silver","","Antioch, Syria","","","Seleucis and Pieria","RPC II, 1962","","","","PrieurST.||RPC II, 1962||RPC.2.1962||Wruck.77","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","ΑΥΤΟΚΡΑ ΚΑΙΣΑ ΟΥΕΣΠΑΣΙΑΝΟΥ","Head laur. r.","ETOVS NEOV IEROV [ ]","Eagle l. on club, wreath in beak; to l., palm branch","","","12","","13.7","https://numismatics.org/collectionimages/19001949/1911/1911.32.21.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1911/1911.32.21.rev.width175.jpg","2024-05-15T12:08:04Z"
"http://numismatics.org/collection/1952.142.304","Silver Tetradrachm of Vespasian, Uncertain value, 76–77. 1952.142.304","1952.142.304","https://rpc.ashmus.ox.ac.uk/type/7951","76","77","Vespasian","","","Roman Empire","Flavian Dynasty","","Vespasian","Tetradrachm","Roman","Coin","","","","","","Silver","","Uncertain","","","Cyprus","RPC II, 1805","","","","RPC II, 1805","L1|Roman/f319885b-5d75-3ad8-a9e9-6709324f6507||f319885b-5d75-3ad8-a9e9-6709324f6507|Provincial/559caa9b-6b27-304f-abd8-c1e562ed1d0a||559caa9b-6b27-304f-abd8-c1e562ed1d0a|East/5765bd0d-2b3b-3907-8aed-2acf7fec7655","","","","","","","AVTOKRATOP OVESPASIANOS KAISAR","Head laur. l.","ETOVS NEOV IEROV 9","Zeus Salaminios stg. l. holding phiale in r. and sceptre in l.","","","12","25.0","11.97","https://numismatics.org/collectionimages/19501999/1952/1952.142.304.obv.width175.jpg","https://numismatics.org/collectionimages/19501999/1952/1952.142.304.rev.width175.jpg","2024-05-13T06:14:57Z"
